"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Tennessee","",NA,NA,NA,"Liatris pilosa","https://services.itis.gov/?q=tsn:507625","shaggy blazing star","Plants","Species","Exact Match","Liatris pilosa"
"Texas","","Resolved Taxon","Q01L","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q01L","Amorpha roemeriana","https://services.itis.gov/?q=tsn:182065","Roemer's false indigo","Plants","Species","Exact Match","Amorpha roemeriana"
"Tennessee","Vermont",NA,NA,NA,"Huperzia appalachiana","https://services.itis.gov/?q=tsn:507547","Appalachian clubmoss","Plants","Species","Exact Match","Huperzia appalachiana"
"Arizona,Colorado,Nebraska,Nevada,North Dakota,Wyoming","California,Colorado,Idaho,Montana,Nebraska,Nevada,North Dakota,Oregon,Texas,Utah,Wyoming","Species of Concern","B0HA","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0HA","Spizella breweri","https://services.itis.gov/?q=tsn:179440","Brewer's Sparrow","Birds","Species","Exact Match","Spizella breweri"
"Hawaii","Hawaii",NA,NA,NA,"Boehmeria grandis","https://services.itis.gov/?q=tsn:19123","Hawai'i false nettle","Plants","Species","Exact Match","Boehmeria grandis"
"Alabama,Arkansas,Illinois,Iowa,Kentucky,Michigan,Missouri,New York,North Carolina,Ohio,Tennessee,Virginia,Wisconsin","Alabama,Arkansas,Georgia,Illinois,Iowa,Kansas,Kentucky,Michigan,Missouri,New York,North Carolina,Tennessee,Virginia,Wisconsin",NA,NA,NA,"Alasmidonta viridis","https://services.itis.gov/?q=tsn:79916","slippershell mussel","Mollusks","Species","Exact Match","Alasmidonta viridis , Alasmidonta viridis"
"Alaska","Alaska,California,Nevada",NA,NA,NA,"Sphyrapicus ruber","https://services.itis.gov/?q=tsn:178212","Red-breasted Sapsucker","Birds","Species","Exact Match","Sphyrapicus ruber"
"Arizona,Nevada,Utah","Arizona,California,Nevada,New Mexico,Utah","Species of Concern","A0IU","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A0IU","Lasiurus blossevillii","https://services.itis.gov/?q=tsn:552512","western red bat","Mammals","Species","Exact Match","Lasiurus blossevillii"
"Georgia,West Virginia","Georgia",NA,NA,NA,"Baptisia australis var. australis","https://services.itis.gov/?q=tsn:192837","blue wild indigo","Plants","Variety","Exact Match","Baptisia australis var. aberrans, Baptisia australis var. australis"
"Hawaii","Hawaii","Endangered","Q1VB","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1VB","Delissea subcordata","https://services.itis.gov/?q=tsn:34764","`oha","Plants","Species","Exact Match","Delissea subcordata"
"Wyoming","Wyoming","Resolved Taxon","G02L","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G02L","Physella spelunca","https://services.itis.gov/?q=tsn:76728","cave physa","Mollusks","Species","Exact Match","Physella spelunca"
"Maine","Maine",NA,NA,NA,"Hydroptila tomah","https://services.itis.gov/?q=tsn:608855","A Caddisfly","Insects","Species","Exact Match","Hydroptila tomah"
"Massachusetts,Missouri,West Virginia","Missouri,Vermont",NA,NA,NA,"Carex trichocarpa","https://services.itis.gov/?q=tsn:39851","hairy-fruit sedge","Plants","Species","Exact Match","Carex trichocarpa"
"Illinois,Iowa","Illinois,Iowa","Endangered","G00T","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G00T","Discus macclintocki","https://services.itis.gov/?q=tsn:77400","Pleistocene disc","Mollusks","Species","Exact Match","Sicus macclintocki, Discus macclintocki"
"Florida","Virgin Islands","Resolved Taxon","B0DS","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0DS","Crotophaga ani","https://services.itis.gov/?q=tsn:177838","Smooth-billed Ani","Birds","Species","Exact Match","Crotophaga ani"
"Tennessee","",NA,NA,NA,"Lesteva pallipes",NA,"rove beetle","Other","Undetermined","Not Matched","Lesteva pallipes"
"Arizona","Arizona",NA,NA,NA,"Oxyloma haydeni haydeni","https://services.itis.gov/?q=tsn:198381","Niobrara Ambersnail","Mollusks","Subspecies","Exact Match","Oxyloma haydeni haydeni"
