"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Virginia","Virginia",NA,NA,NA,"Critically Imperiled","1999-09-20","Sweltsa holstonensis","https://services.itis.gov/?q=tsn:609894","Holston sallfly","Insects","Species","Exact Match","Sweltsa holstonensis"
"Pennsylvania,Virginia","District of Columbia,Maryland,Pennsylvania,Virginia,West Virginia",NA,NA,NA,"Secure","1988-10-10","Lestes dryas","https://services.itis.gov/?q=tsn:102066","Emerald Spreadwing","Insects","Species","Exact Match","Lestes dryas"
"Oklahoma","Oklahoma",NA,NA,NA,NA,NA,"Hyla avivoca avivoca","https://services.itis.gov/?q=tsn:776780","Western Bird-voiced Treefrog","Amphibians","Subspecies","Exact Match","Hyla avivoca avivoca"
"California,Maryland,West Virginia","Maryland,North Carolina,Ohio,Rhode Island,Texas",NA,NA,NA,NA,NA,"Erethizon dorsatus","https://services.itis.gov/?q=tsn:825295","North American Porcupine","Mammals","Species","Followed Accepted TSN","Erethizon dorsatum"
"Alabama,Florida","Alabama,Florida",NA,NA,NA,"Imperiled","2006-01-23","Obovaria choctawensis","https://services.itis.gov/?q=tsn:983594","Choctaw bean","Mollusks","Species","Exact Match","Villosa choctawensis, Obovaria choctawensis*"
"Arizona,New Jersey,Pennsylvania,Rhode Island,Virginia","Arizona,Connecticut,New Jersey,Ohio,Rhode Island,Virginia",NA,NA,NA,"Secure (breeding), Secure (non-breeding)","1997-01-05","Dumetella carolinensis","https://services.itis.gov/?q=tsn:178625","Gray Catbird","Birds","Species","Exact Match","Dumetella carolinensis"
"Delaware,District of Columbia,Massachusetts,New Jersey,North Carolina,Pennsylvania,West Virginia","Delaware,District of Columbia,Maryland,Massachusetts,Pennsylvania,West Virginia","Under Review in the Candidate or Petition Process","C07Z","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=C07Z","Secure","1996-10-05","Pseudemys rubriventris","https://services.itis.gov/?q=tsn:173814","red-bellied turtle","Reptiles","Species","Exact Match","Pseudemys rubriventris pop. 1, Pseudemys rubriventris"
"Alabama,Georgia,Kentucky,Mississippi,New Jersey,North Carolina,Tennessee,Virginia,West Virginia","Alabama,Kentucky,Mississippi,North Carolina,Tennessee,Virginia","Species of Concern","C052","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=C052","Apparently Secure","1996-10-05","Pituophis melanoleucus melanoleucus","https://services.itis.gov/?q=tsn:209397","Northern Pine Snake","Reptiles","Subspecies","Exact Match","Pituophis melanoleucus melanoleucus , Pituophis melanoleucus melanoleucus"
"Tennessee","",NA,NA,NA,"Unranked","Unknown","Erythronium rostratum","https://services.itis.gov/?q=tsn:42930","yellow troutlily","Plants","Species","Exact Match","Erythronium rostratum"
"Louisiana","",NA,NA,NA,"Unranked","Unknown","Chaetopappa asteroides","https://services.itis.gov/?q=tsn:37006","Arkansas leastdaisy","Plants","Species","Exact Match","Chaetopappa asteroides"
"Missouri","Missouri",NA,NA,NA,"Unranked","Unknown","Camassia angusta","https://services.itis.gov/?q=tsn:501166","prairie camas","Plants","Species","Exact Match","Camassia angusta"
"Florida","Florida","Resolved Taxon","K07I","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K07I","Critically Imperiled","2006-09-05","Procambarus orcinus","https://services.itis.gov/?q=tsn:97544","Woodville Karst cave crayfish","Crustaceans","Species","Exact Match","Procambarus orcinus"
"Connecticut,Pennsylvania,Virginia","Connecticut,Virginia",NA,NA,NA,"Secure","1999-09-14","Valvata tricarinata","https://services.itis.gov/?q=tsn:70354","threeridge valvata","Mollusks","Species","Exact Match","Valvata tricarinata"
"Louisiana,Mississippi,Missouri,Virginia","Louisiana,Mississippi,Virginia",NA,NA,NA,"Secure","1996-12-05","Cyprinella whipplei","https://services.itis.gov/?q=tsn:163811","steelcolor shiner","Fish","Species","Exact Match","Cyprinella whipplei"
"South Carolina","South Carolina",NA,NA,NA,NA,NA,"Paraonis fulgens","https://services.itis.gov/?q=tsn:66697","""A polychaeate""","Other Invertebrates","Species","Exact Match","Paraonis fulgens"
"Arkansas","Arkansas",NA,NA,NA,"Critically Imperiled","2005-09-29","Amnicola cora","https://services.itis.gov/?q=tsn:70770","Foushee cavesnail","Mollusks","Species","Exact Match","Amnicola cora"
"Massachusetts,South Carolina","",NA,NA,NA,"Vulnerable","Unknown","Sabatia kennedyana","https://services.itis.gov/?q=tsn:30015","Plymouth rose gentian","Plants","Species","Exact Match","Sabatia kennedyana"
"Delaware,West Virginia,Wisconsin","Delaware,Pennsylvania,West Virginia,Wisconsin",NA,NA,NA,"Secure","1997-09-01","Tetracha virginica","https://services.itis.gov/?q=tsn:697774","Virginia Big-headed Tiger Beetle","Insects","Species","Exact Match","Megacephala virginica, Tetracha virginica"
"Virginia","Virginia",NA,NA,NA,"Unranked","Unknown","Metriocnemus knabi","https://services.itis.gov/?q=tsn:128831","Pitcher plant midge","Insects","Species","Exact Match","Metriocnemus knabi"
"Maine,Massachusetts,New Hampshire,New Jersey,New York,Pennsylvania,Vermont,West Virginia","Indiana,Massachusetts,New Hampshire,New York,Pennsylvania,Vermont,West Virginia","Under Review in the Candidate or Petition Process","I0EX","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0EX","Imperiled","2005-05-06","Cicindela marginipennis","https://services.itis.gov/?q=tsn:697708","Cobblestone Tiger Beetle","Insects","Species","Exact Match","Cicindela marginipennis"
"Arkansas,Illinois,Iowa,Kentucky,Missouri,Ohio,Pennsylvania,South Dakota,West Virginia","Illinois,Iowa,Kentucky,Missouri,South Dakota,West Virginia",NA,NA,NA,"Secure","1996-12-05","Umbra limi","https://services.itis.gov/?q=tsn:162153","central mudminnow","Fish","Species","Exact Match","Umbra limi , Umbra limi"
"Tennessee","",NA,NA,NA,"Apparently Secure","Unknown","Solidago rupestris","https://services.itis.gov/?q=tsn:36302","rock goldenrod","Plants","Species","Exact Match","Solidago rupestris"
"Texas","",NA,NA,NA,NA,NA,"Eleocharis ravenelii","https://services.itis.gov/?q=tsn:808426","Rio Grande spikerush","Plants","Species","Followed Accepted TSN","Eleocharis austrotexana"
