"scientificname","commonname","taxonomicrank","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change"
"Chlosyne acastus","Acastus Checkerspot","Species","Exact Match","Chlosyne acastus","Nebraska","Nebraska",1,1,0
"Chlosyne nycteis","Silvery Checkerspot","Species","Exact Match","Chlosyne nycteis","Connecticut,Pennsylvania","Connecticut,Florida,Nebraska,New Jersey,Pennsylvania",2,5,-3
"Chondestes grammacus","Lark Sparrow","Species","Exact Match","Chondestes grammacus","Arkansas,California,Iowa,Kansas,Kentucky,North Carolina,Ohio,Tennessee,Texas,West Virginia,Wisconsin","Kansas,Kentucky,Louisiana,Minnesota,Ohio,Texas,Wisconsin",11,7,4
"Chordeiles minor","Common Nighthawk","Species","Exact Match","Chordeiles minor","Connecticut,Delaware,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Michigan,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Rhode Island,Texas,Vermont,West Virginia","Arizona,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Tennessee,Vermont,West Virginia,Wisconsin",20,27,-7
"Chrosomus eos","Northern Redbelly Dace","Species","Followed Accepted TSN","Chrosomus eos,Phoxinus eos","Colorado,Massachusetts,Nebraska,New Hampshire,North Dakota,South Dakota","Colorado,Massachusetts,Nebraska,New Hampshire,North Dakota,Pennsylvania,South Dakota",6,7,-1
"Chrosomus erythrogaster","Southern Redbelly Dace","Species","Followed Accepted TSN","Chrosomus erythrogaster,Phoxinus erythrogaster","Colorado,Illinois,Iowa,Kansas,Michigan,Mississippi,New Mexico,Pennsylvania,South Dakota,West Virginia","Colorado,Iowa,Kansas,Michigan,Mississippi,New Mexico,Ohio,Pennsylvania,South Dakota,West Virginia",10,10,0
"Chrosomus neogaeus","Finescale Dace","Species","Followed Accepted TSN","Chrosomus neogaeus,Phoxinus neogaeus","Michigan,Nebraska,New Hampshire,North Dakota,South Dakota,Wyoming","Nebraska,New Hampshire,North Dakota,South Dakota,Wyoming",6,5,1
"Chrysemys picta bellii","western painted turtle","Subspecies","Fuzzy Match","Chrysemys picta belli,Chrysemys picta bellii","Arizona,New Mexico,Oregon,Wyoming","Oregon,Wyoming",4,2,2
"Chylismia eastwoodiae","Eastwood evening primrose","Species","Followed Accepted TSN","Camissonia eastwoodiae","","Colorado",0,1,-1
"Cicindela decemnotata","Badlands Tiger Beetle","Species","Exact Match","Cicindela decemnotata","","Nebraska",0,1,-1
"Cicindela limbata nympha","northern sandy tiger beetle","Subspecies","Exact Match","Cicindela limbata nympha","Minnesota","Minnesota,South Dakota",1,2,-1
"Cicindela nebraskana","Prairie Long-lipped Tiger Beetle","Species","Exact Match","Cicindela nebraskana","Nebraska","Nebraska",1,1,0
"Cicindela pulchra","Beautiful Tiger Beetle","Species","Exact Match","Cicindela pulchra","Nebraska","Nebraska",1,1,0
"Cicindela theatina","San Luis Dunes tiger beetle","Species","Exact Match","Cicindela theatina","Colorado","Colorado",1,1,0
"Cicuta maculata var. bolanderi","Spotted Water-hemlock","Variety","Exact Match","Cicuta maculata var. bolanderi","","Nebraska",0,1,-1
"Cinclus mexicanus","American Dipper","Species","Exact Match","Cinclus mexicanus","Alaska,Arizona,Colorado,South Dakota","Arizona,South Dakota",4,2,2
"Circus cyaneus","Northern Harrier","Species","Exact Match","Circus cyaneus","Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Alaska,California,Colorado,Connecticut,Delaware,Illinois,Indiana,Iowa,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Missouri,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Virginia,West Virginia",34,28,6
"Cirsium discolor","Field Thistle","Species","Exact Match","Cirsium discolor","Vermont","Nebraska,Vermont",1,2,-1
"Cirsium perplexans","Adobe thistle","Species","Exact Match","Cirsium perplexans","","Colorado",0,1,-1
"Cistothorus platensis","Sedge wren","Species","Fuzzy Match","Cistothorus plantensis,Cistothorus platensis,Cistothorus  platensis","Arkansas,Connecticut,Delaware,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Tennessee,Texas,Vermont,Virginia,West Virginia","Arkansas,Connecticut,Delaware,Florida,Indiana,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Nebraska,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,South Carolina,Tennessee,Texas,Vermont",27,22,5
"Claytonia virginica","Narrow-leaved Spring-beauty","Species","Exact Match","Claytonia virginica","Nebraska,Vermont","Massachusetts,Nebraska,Vermont",2,3,-1
"Clematis fremontii","Fremont''s Leatherflower","Species","Exact Match","Clematis fremontii","Georgia,Missouri,Nebraska","Georgia,Missouri,Nebraska,Tennessee",3,4,-1
"Clematis hirsutissima var. scottii","Sugarbowls","Variety","Exact Match","Clematis hirsutissima var. scottii","Nebraska","Nebraska",1,1,0
"Clematis pitcheri var. pitcheri","Pitcher's Leather-flower","Variety","Exact Match","Clematis pitcheri var. pitcheri","","Nebraska",0,1,-1
"Coccinella novemnotata","Nine-spotted Ladybird Beetle","Species","Exact Match","Coccinella novemnotata","Rhode Island","Connecticut,Florida,Nebraska,New York,Rhode Island",1,5,-4
"Coccyzus americanus","Yellow-billed Cuckoo","Species","Exact Match","Coccyzus americanus,Coccyzus americanus occidentalis","Arizona,Arkansas,California,Colorado,Connecticut,Idaho,Illinois,Iowa,Louisiana,Michigan,Montana,Nebraska,Nevada,New Jersey,New Mexico,North Carolina,Ohio,Rhode Island,Tennessee,Texas,Utah,Virginia,Virgin Islands,Washington,Wisconsin,Wyoming","Arizona,Arkansas,California,Colorado,Connecticut,District of Columbia,Idaho,Illinois,Iowa,Maine,Minnesota,Missouri,Nevada,New Jersey,New Mexico,Ohio,Rhode Island,South Carolina,Texas,Utah,Virginia,Washington,Wyoming",26,23,3
"Coccyzus erythropthalmus","Black-billed Cuckoo","Species","Fuzzy Match","Coccyzus erythropthalmus,Coccyzus erythrothalmus","Connecticut,Delaware,Illinois,Iowa,Kansas,Maine,Maryland,Michigan,Minnesota,Montana,Nebraska,New Jersey,New York,North Carolina,North Dakota,Ohio,Rhode Island,Vermont,West Virginia,Wisconsin","Connecticut,Delaware,Illinois,Iowa,Kansas,Maine,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,North Dakota,Ohio,Rhode Island,South Carolina,Vermont,Virginia,West Virginia",20,18,2
"Coenonympha tullia","Large Heath","Species","Exact Match","Coenonympha tullia,Coenoympha tullia","Iowa","Iowa,Nebraska",1,2,-1
"Colias alexandra","Queen Alexandra''s Sulphur","Species","Exact Match","Colias alexandra","","Nebraska",0,1,-1
"Colinus virginianus","Northern Bobwhite","Species","Exact Match","Colinus virginianus","Arkansas,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Mississippi,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Texas,Virginia,West Virginia,Wisconsin","Arkansas,Colorado,Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin",28,26,2
"Coloradia luski","Lusk''s pinemoth","Species","Exact Match","Coloradia luski","Colorado","Colorado",1,1,0
"Conepatus leuconotus","Hog-nosed skunk","Species","Exact Match","Conepatus leuconotus","Colorado,Texas","Colorado,Texas",2,2,0
"Contopus cooperi","Olive-sided flycatcher","Species","Followed Accepted TSN","Contopus borealis,Contopus cooperi","Alaska,Arizona,California,Colorado,Connecticut,Maine,Maryland,Michigan,Minnesota,Nevada,New Mexico,New York,Oregon,Pennsylvania,Tennessee,Vermont,West Virginia,Wisconsin","Alaska,Arizona,California,Colorado,Delaware,Idaho,Iowa,Maine,Maryland,Massachusetts,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Oregon,Pennsylvania,Tennessee,Utah,Vermont,West Virginia,Wisconsin",18,24,-6
"Contopus virens","Eastern Wood-pewee","Species","Exact Match","Contopus virens","Connecticut,Kansas,Minnesota,New Jersey,North Carolina,Ohio,South Carolina,Tennessee,Texas,Virginia,West Virginia","Connecticut,Iowa,Kansas,Maine,Missouri,New Jersey,South Carolina,Virginia",11,8,3
"Corallorhiza maculata var. occidentalis","Spotted Coral-Root","Variety","Exact Match","Corallorhiza maculata var. occidentalis","Nebraska","Nebraska,West Virginia",1,2,-1
"Corallorhiza odontorhiza var. odontorhiza","Autumn Coral-root","Variety","Exact Match","Corallorhiza odontorhiza var. odontorhiza","","Nebraska,Vermont",0,2,-2
"Corallorhiza striata var. vreelandii","Striped Coral-Root","Variety","Exact Match","Corallorhiza striata var. vreelandii","","Nebraska",0,1,-1
"Corallorhiza wisteriana","Wister's Coralroot, Spring Coralroot","Species","Exact Match","Corallorhiza wisteriana","Nebraska","Nebraska,West Virginia",1,2,-1
"Cordulegaster dorsalis","Pacific Spiketail","Species","Exact Match","Cordulegaster dorsalis","","Colorado",0,1,-1
"Coreopsis palmata","Finger Coreopsis","Species","Exact Match","Coreopsis palmata","","Louisiana,Nebraska",0,2,-2
"Corispermum navicula","Boat-shaped bugseed","Species","Exact Match","Corispermum navicula","","Colorado",0,1,-1
"Corispermum villosum","Hairy Bugseed","Species","Exact Match","Corispermum villosum","Missouri,Nebraska","Nebraska",2,1,1
"Corispermum welshii","Welsh''s Bugseed","Species","Exact Match","Corispermum welshii","","Nebraska",0,1,-1
"Corvus cryptoleucus","Chihuahuan Raven","Species","Exact Match","Corvus cryptoleucus","Kansas","Kansas",1,1,0
"Corydalis aurea","Golden Corydalis","Species","Exact Match","Corydalis aurea","Nebraska,Vermont","Nebraska,Vermont",2,2,0
"Corydalis flavula","Pale Corydalis","Species","Exact Match","Corydalis flavula","Nebraska","Nebraska",1,1,0
"Corynorhinus townsendii","Townsend's Big-eared Bat","Species","Exact Match","Corynorhinus townsendii,Corynorhinus  townsendii","California,Idaho,Kansas,Montana,Nebraska,Nevada,Oregon,South Dakota,Texas,Utah,Wyoming","California,Idaho,Kansas,Nebraska,Nevada,New Mexico,North Carolina,North Dakota,Oregon,South Dakota,Utah,Washington,Wyoming",11,13,-2
"Corynorhinus townsendii pallescens","Townsend's big-eared bat ssp.","Subspecies","Followed Accepted TSN","Corynorhinus townsendii pallascens,Corynorhinus townsendii pallescens,Plecotus (Chorynorhinus) townsendii pallescens","Colorado,Oklahoma,Washington","Arizona,Colorado,Oklahoma",3,3,0
"Cottus carolinae","Banded Sculpin","Species","Exact Match","Cottus carolinae","Illinois,Kansas,Mississippi,West Virginia","Kansas,Mississippi,North Carolina",4,3,1
"Coturnicops noveboracensis","Yellow Rail","Species","Exact Match","Coturnicops noveboracensis,Coturnicops noveborancensis","Alabama,California,Delaware,Illinois,Iowa,Kentucky,Louisiana,Maine,Michigan,Minnesota,Mississippi,Missouri,Montana,New York,North Carolina,North Dakota,Oklahoma,Oregon,South Carolina,Texas,Virginia,Wisconsin","Alabama,California,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Michigan,Minnesota,Mississippi,Missouri,New York,North Carolina,North Dakota,Oklahoma,South Carolina,Wisconsin",22,20,2
"Couesius plumbeus","Lake Chub","Species","Exact Match","Couesius plumbeus","Alaska,Colorado,Idaho,Illinois,Massachusetts,Minnesota,Nebraska,South Dakota,Wyoming","Alaska,Colorado,Illinois,Massachusetts,Minnesota,Nebraska,New York,South Dakota,Washington",9,9,0
"Crataegus macracantha","Spike Hawthorn","Species","Followed Accepted TSN","Crataegus macracantha var. occidentalis","","Nebraska,Vermont",0,2,-2
"Cratogeomys castanops","Yellow-faced pocket gopher","Species","Exact Match","Cratogeomys castanops,Cratogeomys  castanops","Kansas,Texas","Kansas,Oklahoma,Texas",2,3,-1
"Crotalus horridus","Timber Rattlesnake","Species","Followed Accepted TSN","Crotalus h. horridus,Crotalus horridua,Crotalus horridus,Crotalus horridus 1,Crotalus horridus 2,Crotalus horridus (canebrake),Crotalus horridus horridus,Crotalus horridus (timber)","Connecticut,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Connecticut,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",27,28,-1
"Crotalus oreganus concolor","Midget Faded Rattlesnake","Subspecies","Exact Match","Crotalus oreganus concolor,Crotalus viridis concolor","Arizona,Colorado,Wyoming","Colorado,Utah,Wyoming",3,3,0
"Crotalus viridis","Prairie Rattlesnake","Species","Exact Match","Crotalus viridis","Iowa,Kansas,Oregon,Texas","Iowa,Kansas,Texas",4,3,1
"Cryptantha osterhoutii","Osterhout cat’s-eye","Species","Followed Accepted TSN","Oreocarya osterhoutii","","Colorado",0,1,-1
"Cupido amyntula amyntula","Western Tailed Blue","Subspecies","Followed Accepted TSN","Everes amyntula","","Nebraska",0,1,-1
"Cuscuta gronovii","Gronovius'' Dodder","Species","Exact Match","Cuscuta gronovii","","Nebraska",0,1,-1
"Cuscuta plattensis","Platte River Dodder","Species","Exact Match","Cuscuta plattensis","","Nebraska",0,1,-1
"Cuscuta umbrosa","Big-fruit Dodder","Species","Exact Match","Cuscuta umbrosa","","Nebraska",0,1,-1
"Cyclanthera dissecta","Cut-leaf Cyclanthera","Species","Exact Match","Cyclanthera dissecta","Nebraska","Nebraska",1,1,0
"Cycleptus elongatus","Blue Sucker","Species","Exact Match","Cycleptus elongatus","Arkansas,Illinois,Iowa,Kansas,Louisiana,Minnesota,Mississippi,Montana,Nebraska,New Mexico,North Dakota,Ohio,Oklahoma,Tennessee,Texas,West Virginia,Wisconsin","Arkansas,Iowa,Kansas,Louisiana,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Mexico,North Dakota,Ohio,Oklahoma,South Dakota,Tennessee,Texas,West Virginia,Wisconsin",17,18,-1
"Cyclonaias tuberculata","Purple Wartyback","Species","Exact Match","Cyclonaias tuberculata","Arkansas,Illinois,Iowa,Kansas,Michigan,Minnesota,Mississippi,North Carolina,Ohio,West Virginia,Wisconsin","Illinois,Iowa,Kansas,Michigan,Minnesota,Mississippi,North Carolina,Ohio,Pennsylvania,West Virginia,Wisconsin",11,11,0
"Cygnus buccinator","Trumpeter Swan","Species","Exact Match","Cygnus buccinator","Arkansas,Idaho,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Montana,Nebraska,Oklahoma,South Dakota,Washington,Wisconsin,Wyoming","Alaska,Arkansas,Idaho,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Nebraska,Ohio,Oklahoma,Oregon,South Dakota,Wyoming",16,15,1
"Cynomys gunnisoni","Gunnison's Prairie Dog","Species","Exact Match","Cynomys gunnisoni","Arizona,Colorado,New Mexico,Utah","Arizona,Colorado,New Mexico,Utah",4,4,0
"Cynomys leucurus","White-tailed Prairie Dog","Species","Exact Match","Cynomys leucurus","Colorado,Montana,Utah,Wyoming","Colorado,Montana,Utah",4,3,1
"Cynomys ludovicianus","Black-tailed Prairie Dog","Species","Exact Match","Cynomys ludovicianus","Arizona,Colorado,Kansas,Montana,New Mexico,North Dakota,Oklahoma,Texas,Wyoming","Arizona,Colorado,Kansas,New Mexico,North Dakota,Oklahoma,Texas",9,7,2
"Cyperus lupulinus ssp. macilentus","Great Plains Flatsedge","Subspecies","Exact Match","Cyperus lupulinus ssp. macilentus","","Nebraska",0,1,-1
"Cyperus odoratus","no common name","Species","Exact Match","Cyperus engelmannii,Cyperus odoratus","Hawaii,Nebraska","Hawaii,Massachusetts,Nebraska",2,3,-1
"Cyprinella spiloptera","Spotfin Shiner","Species","Fuzzy Match","Cyprinella spiloptera,Cyprinella spilopterus","Arkansas,Kansas,Mississippi,Oklahoma","Arkansas,Kansas,Mississippi,New Jersey,Oklahoma",4,5,-1
"Cypripedium candidum","Small White Lady-slipper","Species","Exact Match","Cypripedium candidum,Cypripedium candidum 5,Cypripedium candidum 6","Missouri,Nebraska","Missouri,Nebraska",2,2,0
"Cypripedium parviflorum","Yellow Lady's-slipper","Species","Exact Match","Cypripedium parviflorum","Nebraska","Massachusetts,Nebraska",1,2,-1
"Cyprogenia aberti","Western Fanshell","Species","Exact Match","Cyprogenia aberti","Arkansas,Kansas,Louisiana,Mississippi,Missouri,Oklahoma","Arkansas,Kansas,Louisiana,Mississippi,Missouri,Oklahoma",6,6,0
"Cypseloides niger","Black Swift","Species","Exact Match","Cypseloides niger","Alaska,California,Colorado,Idaho,Montana,New Mexico,Oregon,Puerto Rico,Utah","California,Colorado,Idaho,Montana,New Mexico,Utah",9,6,3
"Cystopteris bulbifera","Bulblet Bladder Fern","Species","Exact Match","Cystopteris bulbifera","Nebraska","Nebraska,South Carolina",1,2,-1
"Dactylorhiza viridis","Long-bracted Green Orchid","Species","Followed Accepted TSN","Coeloglossum viride,Coeloglossum viride var. virescens,Dactylorhiza viridis","Missouri,Nebraska","Massachusetts,Nebraska,Tennessee,West Virginia",2,4,-2
"Dalea cylindriceps","Large-spike Prairie-clover","Species","Exact Match","Dalea cylindriceps","Nebraska","Nebraska",1,1,0
"Dalea multiflora","Round-headed Prairie Clover","Species","Exact Match","Dalea multiflora","Missouri,Nebraska","Nebraska",2,1,1
"Danaus plexippus","Monarch","Species","Exact Match","Danaus plexippus,Danaus plexippus (overwintering sites),Danaus P. Plexippus","California,District of Columbia,Kansas","Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Idaho,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Michigan,Minnesota,Missouri,New Hampshire,New Jersey,North Carolina,North Dakota,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,Washington",3,27,-24
"Danthonia spicata","Poverty Oatgrass","Species","Exact Match","Danthonia spicata","Nebraska","Nebraska",1,1,0
"Dasistoma macrophylla","Mullein Foxglove","Species","Exact Match","Dasistoma macrophylla","Nebraska","Louisiana,Nebraska,South Carolina,West Virginia",1,4,-3
"Delphinium alpestre","Colorado larkspur","Species","Followed Accepted TSN","Delphinium ramosum var. alpestre","","Colorado",0,1,-1
"Delphinium geyeri","Geyer''s Larkspur","Species","Exact Match","Delphinium geyeri","Nebraska","Nebraska",1,1,0
"Delphinium nuttallianum","Blue Larkspur","Species","Exact Match","Delphinium nuttallianum","Nebraska","Nebraska",1,1,0
"Delphinium robustum","Wahatoya Creek larkspur","Species","Exact Match","Delphinium robustum","","Colorado",0,1,-1
"Delphinium tricorne","Dwarf Larkrspur","Species","Exact Match","Delphinium tricorne","","Nebraska",0,1,-1
"Descurainia kenheilii","Heil’s tansy mustard","Species","Exact Match","Descurainia kenheilii","","Colorado",0,1,-1
"Descurainia pinnata ssp. halictorum","Pinnate Tansy Mustard","Subspecies","Followed Accepted TSN","Descurainia pinnata var. osmiarum","","Nebraska",0,1,-1
"Desmodium cuspidatum var. longifolium","Long-leaf Tick-clover","Variety","Exact Match","Desmodium cuspidatum var. longifolium","Nebraska","Nebraska",1,1,0
"Desmodium sessilifolium","Sessile-Leaf Tick-Clover","Species","Exact Match","Desmodium sessilifolium","Nebraska","Nebraska",1,1,0
"Dicamptodon aterrimus","Idaho Giant Salamander","Species","Exact Match","Dicamptodon aterrimus","Idaho,Montana","Montana",2,1,1
"Dichanthelium depauperatum","Starved Spring-panicum","Species","Exact Match","Dichanthelium depauperatum,Panicum depauperatum","Nebraska","Nebraska",1,1,0
"Dichanthelium latifolium","Broad-leaf Spring-Panicum","Species","Exact Match","Dichanthelium latifolium","","Nebraska",0,1,-1
"Dichanthelium linearifolium","Slender-leaf Spring-panicum","Species","Exact Match","Dichanthelium linearifolium","","Nebraska",0,1,-1
"Dieteria canescens var. glabra","Hoary-aster","Variety","Exact Match","Dieteria canescens var. glabra","","Nebraska",0,1,-1
"Diodella teres","Rough Buttonweed","Species","Followed Accepted TSN","Diodia teres var. teres","","Nebraska",0,1,-1
"Dioscorea villosa","Wild Yam","Species","Exact Match","Dioscorea villosa","Nebraska","Nebraska",1,1,0
"Diospyros virginiana","Persimmon","Species","Exact Match","Diospyros virginiana","Nebraska","Nebraska",1,1,0
"Doellingeria umbellata var. pubens","Flat-Top Aster","Variety","Exact Match","Doellingeria umbellata var. pubens","Missouri,Nebraska","Nebraska",2,1,1
"Dolichonyx oryzivorus","Bobolink","Species","Exact Match","Dolichonyx oryzivorus,Dolichonyx orzivorus","Colorado,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,Michigan,Minnesota,Montana,Nevada,New Jersey,New York,North Carolina,North Dakota,Ohio,Oregon,Puerto Rico,Rhode Island,Utah,Vermont,West Virginia,Wisconsin,Wyoming","Colorado,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Minnesota,Missouri,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming",27,29,-2
"Draba brachycarpa","Short-pod Draba","Species","Exact Match","Draba brachycarpa","Nebraska","Nebraska",1,1,0
"Draba cuneifolia var. cuneifolia","Wedge-leaf Draba","Variety","Exact Match","Draba cuneifolia var. cuneifolia","","Nebraska",0,1,-1
"Draba exunguiculata","Clawless draba","Species","Exact Match","Draba exunguiculata","","Colorado",0,1,-1
"Draba graminea","San Juan whitlow-grass","Species","Exact Match","Draba graminea","","Colorado",0,1,-1
"Draba grayana","Gray''s Peak whitlow-grass","Species","Exact Match","Draba grayana","","Colorado",0,1,-1
"Draba malpighiacea","Whitlow-grass","Species","Exact Match","Draba malpighiacea","","Colorado",0,1,-1
"Draba smithii","Smith whitlow-grass","Species","Exact Match","Draba smithii","","Colorado",0,1,-1
"Draba weberi","Weber’s draba","Species","Exact Match","Draba weberi","","Colorado",0,1,-1
"Dracocephalum parviflorum","American Dragon's-head","Species","Exact Match","Dracocephalum parviflorum","Vermont","Nebraska,Vermont",1,2,-1
"Dromogomphus spoliatus","Flag-tailed Spinyleg","Species","Exact Match","Dromogomphus spoliatus","West Virginia","Colorado,West Virginia",1,2,-1
"Dryocopus pileatus","Pileated Woodpecker","Species","Exact Match","Dryocopus pileatus","Connecticut,Kansas,Maryland,Montana,Nebraska,Ohio,Oregon,Rhode Island,Texas,Washington","Nebraska,Oregon,Rhode Island,South Carolina,Texas",10,5,5
"Dryopteris carthusiana","Spinulose Shield Fern","Species","Exact Match","Dryopteris carthusiana","Missouri,Nebraska","Missouri,Nebraska,South Carolina,Tennessee",2,4,-2
"Dryopteris cristata","Crested shield fern","Species","Exact Match","Dryopteris cristata","Missouri","Missouri,Nebraska,Tennessee",1,3,-2
"Echinacea pallida","Pale Purple Coneflower","Species","Exact Match","Echinacea pallida","Nebraska","Nebraska,Tennessee",1,2,-1
"Echinocereus viridiflorus","Hedgehog Cactus","Species","Exact Match","Echinocereus viridiflorus","Nebraska","Nebraska",1,1,0
"Egretta thula","Snowy Egret","Species","Exact Match","Egetta thula,Egretta thula","Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Idaho,Illinois,Kansas,Maine,Maryland,Massachusetts,Mississippi,Missouri,Nevada,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Rhode Island,South Carolina,Texas,Wisconsin,Wyoming","Arizona,Connecticut,Delaware,Florida,Illinois,Maine,Maryland,Massachusetts,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Rhode Island,South Carolina,Texas,Virginia,Wyoming",27,21,6
"Elatine brachysperma","Short-seed Waterwort","Species","Exact Match","Elatine brachysperma","","Nebraska",0,1,-1
"Eleocharis atropurpurea","Purple Spikerush","Species","Exact Match","Eleocharis atropurpurea","Missouri,Nebraska","Missouri,Nebraska",2,2,0
"Eleocharis coloradoensis","Dwarf Spikerush","Unknown Taxonomic Rank","Legacy Match","Eleocharis coloradoensis","Nebraska","Nebraska",1,1,0
"Eleocharis geniculata","Capitate Spikerush","Species","Exact Match","Eleocharis geniculata","Nebraska","Louisiana,Nebraska",1,2,-1
"Eleocharis quinqueflora","Few-flowered Spikerush","Species","Exact Match","Eleocharis pauciflora,Eleocharis quinqueflora","Nebraska,Vermont","Massachusetts,Nebraska,Vermont",2,3,-1
"Eleocharis rostellata","Beaked Spikerush","Species","Exact Match","Eleocharis rostellata","Nebraska","Nebraska,West Virginia",1,2,-1
"Eleocharis wolfii","Wolf''s Spikerush","Species","Exact Match","Eleocharis wolfii","Georgia,Nebraska","Georgia,Louisiana,Missouri,Nebraska,Tennessee",2,5,-3
"Ellipsaria lineolata","Butterfly","Species","Exact Match","Ellipsaria lineolata","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Ohio,Oklahoma,Pennsylvania,West Virginia,Wisconsin","Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Ohio,Oklahoma,Pennsylvania,West Virginia,Wisconsin",13,12,1
"Ellipsoptera lepida","Ghost Tiger Beetle","Species","Followed Accepted TSN","Cicindelalepida,Cicindela lepida,Ellipsoptera lepida","Arkansas,Connecticut,Delaware,Maryland,Michigan,Minnesota,Pennsylvania,South Dakota,Virginia,Wisconsin","Arkansas,Connecticut,Delaware,Maryland,Minnesota,Nebraska,New Jersey,Oklahoma,Pennsylvania,South Dakota,Virginia,Wisconsin",10,12,-2
"Ellipsoptera nevadica lincolniana","Salt Creek Tiger Beetle","Subspecies","Followed Accepted TSN","Cicindela nevadica lincolniana","Nebraska","Nebraska",1,1,0
"Ellipsoptera nevadica makosika","Indian Creek tiger beetle","Subspecies","Followed Accepted TSN","Cicindela nevadica makosika","","South Dakota",0,1,-1
"Elliptio dilatata","Spike","Species","Exact Match","Elliptio dilatata","Alabama,Georgia,Illinois,Iowa,Kansas,Louisiana,Minnesota,Mississippi,North Carolina","Alabama,Illinois,Iowa,Kansas,Louisiana,Minnesota,Mississippi,North Carolina,West Virginia",9,9,0
"Elodea bifoliata","Two-leaf Waterweed","Species","Exact Match","Elodea bifoliata","Nebraska","Nebraska",1,1,0
"Elymus albicans","Montana Wild-rye","Species","Exact Match","Elymus albicans","Nebraska","Nebraska",1,1,0
"Elymus trachycaulus ssp. andinus","Awned Slender Wheatgrass","Subspecies","Followed Accepted TSN","Elymus trachycaulus var. andinus","","Nebraska",0,1,-1
"Elymus virginicus var. intermedius","Virginia Wild-rye","Variety","Exact Match","Elymus virginicus var. intermedius","","Nebraska",0,1,-1
