"scientificname","commonname","taxonomicrank","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change"
"Calidris bairdii","Baird's Sandpiper","Species","Exact Match","Calidris bairdii","Alaska,Kansas","Kansas,South Carolina",2,2,0
"Calidris canutus rufa","Red Knot","Subspecies","Exact Match","Calidris canutus rufa,Calidris canutus rufus","Florida","Florida,Indiana,Maine,Maryland,Michigan,Minnesota,North Carolina,North Dakota,Oklahoma,Pennsylvania,Virginia,Wisconsin",1,12,-11
"Calidris fuscicollis","White-rumped Sandpiper","Species","Exact Match","Calidris fuscicollis","Alaska,Delaware,Florida,Kansas,Minnesota,Rhode Island,South Carolina,Virgin Islands","Delaware,Florida,Iowa,Kansas,New Jersey,Rhode Island,South Carolina",8,7,1
"Calidris himantopus","Stilt Sandpiper","Species","Exact Match","Calidris himantopus,Micropalama himantopus","Alaska,Arkansas,Illinois,Iowa,Kansas,Kentucky,Puerto Rico,South Carolina,Tennessee,Texas,Virgin Islands","Arkansas,Florida,Iowa,Kansas,Kentucky,South Carolina,Tennessee,Texas",11,8,3
"Calidris melanotos","Pectoral Sandpiper","Species","Exact Match","Calidris melanotos","Florida,Kansas,Rhode Island,South Carolina,Virgin Islands","Alaska,Delaware,Florida,Illinois,Iowa,Kansas,South Carolina",5,7,-2
"Calidris minutilla","Least Sandpiper","Species","Exact Match","Calidris minutilla","Arkansas,Kansas,Nevada,Rhode Island,South Carolina,Virgin Islands","Kansas,Maine,New Jersey,Rhode Island,South Carolina",6,5,1
"Calidris pusilla","Semipalmated Sandpiper","Species","Exact Match","Calidris pusilla","Alaska,Arkansas,Connecticut,Delaware,Florida,Kansas,Kentucky,Maine,Maryland,Minnesota,New Hampshire,New Jersey,New York,Rhode Island,South Carolina,Virgin Islands","Alaska,Connecticut,Delaware,Florida,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Minnesota,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Tennessee",16,17,-1
"Callipepla squamata","Scaled Quail","Species","Exact Match","Callipepla squamata","Colorado,Kansas,New Mexico,Oklahoma,Texas","Arizona,Kansas,Oklahoma,Texas",5,4,1
"Callitriche hermaphroditica","Northern Water-starwort","Species","Exact Match","Callitriche hermaphroditica","Nebraska","Nebraska,Vermont",1,2,-1
"Callitriche palustris","Vernal Water-starwort","Species","Exact Match","Callitriche palustris","Nebraska","Nebraska",1,1,0
"Callophrys affinis homoperplexa","Western Green Hairstreak","Subspecies","Exact Match","Callophrys affinis homoperplexa","","Nebraska",0,1,-1
"Callophrys comstocki","Comstock''s hairstreak","Unknown Taxonomic Rank","Legacy Match","Callophrys comstocki","Colorado","Colorado",1,1,0
"Callophrys fotis","Early elfin","Species","Followed Accepted TSN","Callophrys fotis,Incisalia fotis","Colorado,New Mexico","Colorado",2,1,1
"Callophrys mcfarlandi","Sandia hairstreak","Species","Exact Match","Callophrys mcfarlandi","Colorado,New Mexico","Colorado",2,1,1
"Callophrys mossii schryveri","Moss's elfin","Subspecies","Exact Match","Callophrys mossii schryveri","Colorado","Colorado",1,1,0
"Calochortus gunnisonii var. gunnisonii","Gunnison''s Mariposa-lily","Variety","Exact Match","Calochortus gunnisonii var. gunnisonii","","Nebraska",0,1,-1
"Calopteryx aequabilis","River jewelwing","Species","Exact Match","Calopteryx aequabilis","Maryland,Ohio,Pennsylvania,Virginia","Colorado,Maryland,Ohio,Pennsylvania,Virginia",4,5,-1
"Calopteryx maculata","Ebony jewelwing","Species","Exact Match","Calopteryx maculata","","Colorado",0,1,-1
"Caltha palustris","Yellow Marsh-marigold","Species","Exact Match","Caltha palustris,Caltha palustris var. palustris","Missouri,Nebraska","Missouri,Nebraska,Tennessee",2,3,-1
"Cambarus diogenes","Devil Crayfish","Species","Exact Match","Cambarus diogenes","Michigan,New York,Wyoming","District of Columbia,Iowa,Ohio,Wyoming",3,4,-1
"Camelobaetidius warreni","Small Minnow Mayfly","Species","Exact Match","Camelobaetidius warreni","","Colorado",0,1,-1
"Campeloma crassulum","Ponderous campeloma","Species","Exact Match","Campeloma crassulum","","Kansas,Missouri",0,2,-2
"Campostoma anomalum","Central Stoneroller","Species","Exact Match","Campostoma anomalum","District of Columbia,Louisiana,New Mexico,North Dakota,South Carolina,Wyoming","Louisiana,South Carolina,Wyoming",6,3,3
"Campostoma oligolepis","Largescale Stoneroller","Species","Exact Match","Campostoma oligolepis","Illinois,Iowa,Minnesota","Illinois,Iowa,North Dakota",3,3,0
"Canis lupus","Gray Wolf","Species","Exact Match","Canis lupis,Canis lupus","Colorado,Idaho,Illinois,Maine,Michigan,Minnesota,Missouri,Montana,New York,North Carolina,North Dakota,Ohio,Utah,Washington,Wisconsin","California,Colorado,Illinois,New Hampshire,Oregon,Utah,Washington",15,7,8
