"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Arkansas,Kansas,Missouri","Arkansas,Idaho,Kansas,Utah","Species of Concern","C06Y","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=C06Y","Secure","1996-10-05","Sonora semiannulata","https://services.itis.gov/?q=tsn:174275","Ground Snake","Reptiles","Species","Exact Match","Sonora semiannulata"
"Texas","Texas","Resolved Taxon","J01V","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=J01V","Critically Imperiled","2002-08-21","Cicurina holsingeri","https://services.itis.gov/?q=tsn:876176","no common name","Arachnids","Species","Exact Match","Cicurina holsingeri, Cicurina holsingeri (Gertsch)"
"West Virginia","West Virginia","Under Review in the Candidate or Petition Process","K00Z","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K00Z","Imperiled","2002-08-21","Stygobromus parvus","https://services.itis.gov/?q=tsn:93935","minute cave amphipod","Crustaceans","Species","Exact Match","Stygobromus parvus"
"Alabama,Arkansas,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Texas,Virginia,Wisconsin","Alabama,Arkansas,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,Puerto Rico,Rhode Island,South Dakota,Texas,Virginia,Wisconsin","Endangered","B079","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B079","Vulnerable (breeding), Vulnerable (non-breeding)","1997-01-05","Charadrius melodus","https://services.itis.gov/?q=tsn:176507","Piping Plover","Birds","Species","Fuzzy Match","Charadrius melodus [A], Charadrius melodus, Charadrius melodus , Charadrius melodius"
"Delaware,Florida,Hawaii,Louisiana,Maryland,Massachusetts,Mississippi,New Jersey,North Carolina,Northern Mariana Islands,South Carolina,Texas","American Samoa,Delaware,Florida,Guam,Hawaii,Louisiana,Maryland,Massachusetts,Mississippi,New Jersey,New York,North Carolina,Northern Mariana Islands,Puerto Rico,Rhode Island,South Carolina,Texas,Virgin Islands","Endangered","C00E","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=C00E","Critically Imperiled (breeding)","1996-10-21","Eretmochelys imbricata","https://services.itis.gov/?q=tsn:173836","carey","Reptiles","Species","Fuzzy Match","Eretmochelys imbricata imbricat, Eretmochelys imbricate, Eretmochelys imbricata bissa, Eretmochelys imbricata, Eretmochelys imbricata imbricata"
"Texas","","Species of Concern","Q1B4","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1B4","Critically Imperiled","Unknown","Ostrya chisosensis","https://services.itis.gov/?q=tsn:19509","Chisos hophornbeam","Plants","Species","Exact Match","Ostrya chisosensis"
"Georgia,Louisiana,Texas","Georgia","Species of Concern","Q2ML","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2ML","Vulnerable","Unknown","Xyris drummondii","https://services.itis.gov/?q=tsn:39103","Drummond's yellow-eyed grass","Plants","Species","Exact Match","Xyris drummondii"
"Georgia,West Virginia","Georgia","Resolved Taxon","Q1I3","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1I3","Secure","Unknown","Platanthera peramoena","https://services.itis.gov/?q=tsn:43436","purple fringeless orchid","Plants","Species","Exact Match","Platanthera peramoena"
"North Carolina,South Carolina","North Carolina,South Carolina","Resolved Taxon","E05M","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E05M","Vulnerable","2012-08-02","Semotilus lumbee","https://services.itis.gov/?q=tsn:163377","sandhills chub","Fish","Species","Exact Match","Semotilus lumbee"
"Georgia,North Carolina,South Carolina","Georgia,North Carolina,South Carolina","Under Review in the Candidate or Petition Process","F02Q","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=F02Q","Imperiled","2007-03-06","Toxolasma pullus","https://services.itis.gov/?q=tsn:80367","Savannah lilliput","Mollusks","Species","Exact Match","Toxolasma pullus"
"Georgia,Louisiana","Georgia","Species of Concern","Q1PD","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1PD","Secure","Unknown","Sium suave","https://services.itis.gov/?q=tsn:29558","hemlock waterparsnip","Plants","Species","Followed Accepted TSN","Sium suave, Sium floridanum"
"Alabama,Georgia,Mississippi,North Carolina,South Carolina","Alabama,Georgia,Mississippi,North Carolina,South Carolina","Species of Concern","C05T","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=C05T","Vulnerable","1996-10-05","Ophisaurus mimicus","https://services.itis.gov/?q=tsn:209006","Mimic Glass Lizard","Reptiles","Species","Exact Match","Oshisaurus mimicus, Ophisaurus mimicus"
"Missouri,Virginia","Indiana,Missouri,Virginia","Species of Concern","I0LE","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0LE","Unranked","Unknown","Lytrosis permagnaria","https://services.itis.gov/?q=tsn:942364","A geometrid moth","Insects","Species","Exact Match","Lytrosis permagnaria"
"Louisiana","","Species of Concern","I0NB","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0NB","Critically Imperiled","2005-02-22","Diplectrona rossi","https://services.itis.gov/?q=tsn:599355","Schoolhouse Springs Net-spinning Caddisfly","Insects","Species","Exact Match","Diplectrona rossi"
"Alabama","Alabama","Endangered","E098","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E098","Critically Imperiled","1996-12-05","Etheostoma chermocki","https://services.itis.gov/?q=tsn:201984","vermilion darter","Fish","Species","Exact Match","Etheostoma chermocki , Etheostoma chermocki"
"Kentucky,Tennessee","Kentucky,Tennessee","Under Review in the Candidate or Petition Process","E0CO","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E0CO","Imperiled","1996-12-05","Etheostoma microlepidum","https://services.itis.gov/?q=tsn:168410","smallscale darter","Fish","Species","Exact Match","Etheostoma microlepidum"
"Illinois,Indiana,Oklahoma,South Carolina,West Virginia","Illinois,Indiana,South Carolina,West Virginia","Species of Concern","C065","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=C065","Secure","1996-10-05","Pseudemys concinna","https://services.itis.gov/?q=tsn:173805","River Cooter","Reptiles","Species","Exact Match","Pseudemys concinna , Pseudemys concinna"
"Connecticut,Florida","Connecticut,Indiana","Species of Concern","I0BL","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0BL","Unrankable","1993-06-03","Pyreferra ceromatica","https://services.itis.gov/?q=tsn:940095","Annointed Sallow Moth","Insects","Species","Exact Match","Pyreferra ceromatica"
