"scientificname","commonname","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","listingStatus","kingdom","phylum","class"
"Lithobates sylvaticus","Wood Frog","Fuzzy Match","Lithobates sylvatica,Lithobates sylvaticus,Rana sylvatica,Rana sylvatica [Lithobates sylvaticus] pop.3","Alaska,Arkansas,Colorado,Connecticut,District of Columbia,Idaho,Illinois,Kentucky,Missouri,Ohio,Rhode Island,South Carolina,Wyoming","Alabama,Alaska,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Kentucky,Missouri,North Carolina,Ohio,Rhode Island,South Carolina,Wyoming",NA,"Animalia","Chordata","Amphibia"
"Lithophragma parviflorum","Small-flower Prairie-star","Fuzzy Match","Lithophragma parviflora","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Lobelia cardinalis","Cardinal Flower","Exact Match","Lobelia cardinalis","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Lobelia inflata","Indian-tobacco","Exact Match","Lobelia inflata","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Loeflingia squarrosa","Spreading Pygmyleaf","Exact Match","Loeflingia squarrosa,Loeflingia squarrosa var. texana","","Louisiana,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Lomatium concinnum","Colorado desert-parsley","Exact Match","Lomatium concinnum","","Colorado","Species of Concern","Plantae","Tracheophyta","Magnoliopsida"
"Lomatium latilobum","Canyonlands aletes","Fuzzy Match","Aletes latilobus","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Lomatium nuttallii","Dog-parsley","Exact Match","Lomatium nuttallii","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Lontra canadensis","River otter","Fuzzy Match","Lontra canadensis,Lutra canadensis","Colorado,District of Columbia,Illinois,Indiana,Iowa,Nebraska,Nevada,New Jersey,New Mexico,New York,North Dakota,Ohio,Oklahoma,South Dakota,Texas,Utah,Vermont,Wyoming","Colorado,District of Columbia,Nebraska,Nevada,New Mexico,North Dakota,South Dakota,Texas,Vermont,Wyoming","Resolved Taxon","Animalia","Chordata","Mammalia"
"Lota lota","Burbot","Exact Match","Lota lota","Connecticut,Idaho,Iowa,Kentucky,Maine,Massachusetts,New Hampshire,Ohio,Pennsylvania,Wyoming","Alaska,Connecticut,Idaho,Illinois,Iowa,Kentucky,Maine,Massachusetts,Nebraska,New Hampshire,North Dakota,Ohio,Pennsylvania,Washington,Wyoming","Resolved Taxon","Animalia","Chordata","Teleostei"
"Ludwigia alternifolia","Bushy Seedbox","Exact Match","Ludwigia alternifolia","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Ludwigia peploides ssp. glabrescens","Floating Primrose-willow","Fuzzy Match","Ludwigia peploides var. glabrescens","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Lupinus crassus","Payson lupine","Exact Match","Lupinus crassus","","Colorado","Species of Concern","Plantae","Tracheophyta","Magnoliopsida"
"Luxilus cardinalis","Cardinal Shiner","Exact Match","Luxilus cardinalis","Kansas,Oklahoma","Kansas,Missouri,Oklahoma",NA,"Animalia","Chordata","Teleostei"
"Luxilus chrysocephalus","Striped Shiner","Fuzzy Match","Luxilis chrysocephalus,Luxilus chrysocephalus","Maryland,Michigan,North Carolina,Wisconsin","Florida,Kansas,Maryland,Wisconsin",NA,"Animalia","Chordata","Teleostei"
"Luxilus cornutus","Common Shiner","Exact Match","Luxilus cornutus","Colorado,Connecticut,Kansas,Massachusetts,Nebraska,Rhode Island,West Virginia,Wyoming","Colorado,Connecticut,Kansas,Massachusetts,Missouri,Nebraska,Rhode Island,West Virginia,Wyoming",NA,"Animalia","Chordata","Teleostei"
"Lycaena helloides","Purplish Copper","Exact Match","Lycaena helloides","Illinois,Iowa,Ohio","Iowa,Nebraska,Ohio",NA,"Animalia","Arthropoda","Insecta"
"Lycaena phlaeas","American Copper","Exact Match","Lycaena phlaeas","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Lycaena rubidus","Ruddy Copper","Fuzzy Match","Lycaena rubida","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Lygodesmia grandiflora var. doloresensis","Dolores River skeletonplant","Fuzzy Match","Lygodesmia doloresensis","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Lynx canadensis","Canada Lynx","Exact Match","Lynx canadensis","Colorado,Idaho,Maine,Michigan,Minnesota,Montana,New Hampshire,New York,Utah,Vermont,Washington,Wyoming","Colorado,Maine,Minnesota,New Hampshire,Utah,Vermont,Washington,Wyoming","Threatened","Animalia","Chordata","Mammalia"
"Lysimachia maritima","Sea-Milkwort","Fuzzy Match","Glaux maritima,Lysimachia maritima","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Lysimachia maxima","Chaffweed","Fuzzy Match","Lysimachia maxima,Lysimachia minima","Hawaii","Hawaii,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Macdunnoa persimplex","A Flat-headed Mayfly","Exact Match","Macdunnoa persimplex","Wisconsin","Colorado,Wisconsin",NA,"Animalia","Arthropoda","Insecta"
"Macrhybopsis gelida","Sturgeon Chub","Exact Match","Macrhybopsis gelida","Arkansas,Illinois,Iowa,Kansas,Kentucky,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee,Wyoming","Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee,Wyoming","Resolved Taxon","Animalia","Chordata","Teleostei"
"Macrhybopsis hyostoma","Shoal Chub","Exact Match","Macrhybopsis hyostoma,Macrhybopsis hyostomus","Georgia,Kansas,West Virginia,Wisconsin","Alabama,Arkansas,Illinois,Iowa,Kansas,Louisiana,Ohio,West Virginia,Wisconsin",NA,"Animalia","Chordata","Teleostei"
"Macrhybopsis meeki","Sicklefin Chub","Exact Match","Macrhybopsis meeki","Arkansas,Illinois,Iowa,Kansas,Kentucky,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee","Resolved Taxon","Animalia","Chordata","Teleostei"
"Macrhybopsis storeriana","Silver Chub","Exact Match","Macrhybopsis storeriana,Macryhbopsis storeriana","Kansas,Michigan,Missouri,New York,North Dakota,Ohio,Pennsylvania,Texas,West Virginia","Kansas,Michigan,Missouri,North Dakota,Ohio,Texas,West Virginia",NA,"Animalia","Chordata","Teleostei"
"Macrhybopsis tetranema","Canadian Speckled Chub","Fuzzy Match","Macrhybopsis aestivalis tetranemus,Macrhybopsis tetranema,Macrhyhopsis tetranema","Kansas,New Mexico,Oklahoma,Texas","Kansas,New Mexico,Texas",NA,"Animalia","Chordata","Teleostei"
"Macrochelys temminckii","Alligator Snapping Turtle","Fuzzy Match","Macrochelys temmincki,Macrochelys temminckii,Macroclemys temmincki","Alabama,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Oklahoma,Tennessee,Texas","Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Oklahoma,Tennessee,Texas",NA,"Animalia","Chordata","Reptilia"
"Maianthemum canadense","False Lily-of-the-valley","Fuzzy Match","Maianthemum canadense var. interius","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Malus ioensis","Prairie Crabapple","Exact Match","Malus ioensis,Malus ioensis var. ioensis","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Margariscus margarita","Pearl Dace","Exact Match","Margariscus margarita","Iowa,Maryland,Montana,Nebraska,North Dakota,South Dakota,Virginia,West Virginia,Wyoming","District of Columbia,Iowa,Maine,Maryland,Montana,Nebraska,North Dakota,Pennsylvania,Virginia,West Virginia,Wyoming",NA,"Animalia","Chordata","Teleostei"
"Margariscus nachtriebi","Northern Pearl Dace","Exact Match","Margariscus nachtriebi","","South Dakota,Vermont",NA,"Animalia","Chordata","Teleostei"
"Margaritifera falcata","Western Pearlshell Mussel","Fuzzy Match","Margaritifera falcata,Margaritifera falcate","Alaska,California,Idaho,Montana,Utah,Washington,Wyoming","Alaska,California,Idaho,Montana,Utah,Washington,Wyoming",NA,"Animalia","Mollusca","Bivalvia"
"Martes americana","American Marten","Exact Match","Martes americana,Martes Americana","California,Maryland,Michigan,Nevada,New Hampshire,New York,Ohio,Oregon,Utah,Vermont,Washington,Wisconsin,Wyoming","Colorado,Nevada,New Hampshire,New Mexico,North Dakota,Oregon,Vermont,Wisconsin,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Martes pennanti","Fisher","Exact Match","Martes pennanti","Idaho,Montana,North Carolina,Ohio,Oregon,Tennessee,Virginia,Wyoming","New Jersey,Tennessee,Wyoming","Under Review in the Candidate or Petition Process","Animalia","Chordata","Mammalia"
"Matteuccia struthiopteris var. pensylvanica","Ostrich Fern","Exact Match","Matteuccia struthiopteris var. pensylvanica","Missouri","Nebraska",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Megalonaias nervosa","Washboard","Exact Match","Megalonaias nervosa","Florida,Kansas,Minnesota,Ohio,Oklahoma,West Virginia","Florida,Iowa,Kansas,Minnesota,Ohio,Oklahoma,West Virginia,Wisconsin",NA,"Animalia","Mollusca","Bivalvia"
"Megathymus streckeri","Strecker's Giant Skipper","Exact Match","Megathymus streckeri","","Louisiana,Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Megathymus yuccae coloradensis","Colorado Giant Skipper","Exact Match","Megathymus yuccae coloradensis","Nebraska","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Melanerpes erythrocephalus","Red-headed Woodpecker","Exact Match","Melanerpes erythrocephalus","Arkansas,Connecticut,Delaware,Florida,Illinois,Iowa,Kansas,Kentucky,Maryland,Michigan,Minnesota,Mississippi,Montana,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Tennessee,Texas,West Virginia,Wisconsin","Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Missouri,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,West Virginia,Wisconsin",NA,"Animalia","Chordata","Aves"
"Melanerpes lewis","Lewis's Woodpecker","Exact Match","Melanerpes lewis","Arizona,California,Colorado,Idaho,Kansas,Montana,Nebraska,Nevada,New Mexico,Oklahoma,Oregon,South Dakota,Utah,Washington,Wyoming","Arizona,Colorado,Idaho,Montana,Nebraska,Nevada,New Mexico,Oregon,South Dakota,Utah,Washington,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Melanoplus beameri","A Spur-throat Grasshopper","Exact Match","Melanoplus beameri","Kansas","Kansas",NA,"Animalia","Arthropoda","Insecta"
"Melanoplus punctulatus","Grizzly Spur-throat Grasshopper","Exact Match","Melanoplus punctulatus","","Nebraska,Wisconsin",NA,"Animalia","Arthropoda","Insecta"
"Melica nitens","Tall Melic","Exact Match","Melica nitens","Nebraska","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Melospiza georgiana","Swamp Sparrow","Exact Match","Melospiza georgiana","Minnesota,Nebraska,Ohio","Nebraska",NA,"Animalia","Chordata","Aves"
"Mentzelia albicaulis","White-stem Blazing-star","Exact Match","Mentzelia albicaulis","","Nebraska","Status Undefined","Plantae","Tracheophyta","Magnoliopsida"
"Mentzelia chrysantha","Golden blazing star","Fuzzy Match","Nuttallia chrysantha","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Mentzelia densa","Arkansas Canyon stickleaf","Fuzzy Match","Nuttallia densa","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Mentzelia oligosperma","Stickleaf","Exact Match","Mentzelia oligosperma","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Mertensia humilis","Rocky Mountain bluebells","Exact Match","Mertensia humilis","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Mertensia lanceolata var. lanceolata","Prairie Bluebells","Exact Match","Mertensia lanceolata var. lanceolata","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Mesocapnia frisoni","Plains snowfly","Exact Match","Mesocapnia frisoni","Colorado","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Microtus pinetorum","Woodland Vole","Exact Match","Microtus pinetorum,Microtus pinetorum ssp.","Connecticut,Illinois,Iowa,Michigan,Minnesota,Nebraska,Ohio,Vermont,Wisconsin","Connecticut,Florida,Iowa,Michigan,Minnesota,Nebraska,Ohio,Vermont,Wisconsin","Status Undefined","Animalia","Chordata","Mammalia"
"Microtus richardsoni","Water Vole","Exact Match","Microtus richardsoni","Wyoming","Wyoming",NA,"Animalia","Chordata","Mammalia"
"Mimulus alatus","Sharpwing Monkey-Flower","Exact Match","Mimulus alatus","Nebraska","Massachusetts,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Mimulus gemmiparus","Budding monkey flower","Exact Match","Mimulus gemmiparus","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Mimulus guttatus","Seep Monkey-Flower","Exact Match","Mimulus guttatus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Minuartia michauxii","Michaux's Sandwort","Exact Match","Minuartia michauxii,Minuartia michauxii var. texana","Nebraska","Massachusetts,Missouri,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Minytrema melanops","Spotted Sucker","Exact Match","Minytrema melanops","Iowa,Kansas,Michigan,Pennsylvania","Iowa,Kansas,Pennsylvania",NA,"Animalia","Chordata","Teleostei"
"Mirabilis glabra","Smooth Four-o'clock","Exact Match","Mirabilis exaltata,Mirabilis glabra","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Mirabilis rotundifolia","Round-leaf four o’clock","Fuzzy Match","Oxybaphus rotundifolius","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Mniotilta varia","Black-and-white Warbler","Exact Match","Mniotilta varia,Mniotita varia","Connecticut,Delaware,Indiana,Iowa,Maine,Maryland,Nebraska,New Jersey,Ohio,Puerto Rico,Rhode Island,Virginia,Virgin Islands","Connecticut,Delaware,District of Columbia,Indiana,Maine,Maryland,Massachusetts,Nebraska,New Jersey,Ohio,Pennsylvania,Rhode Island,South Carolina,Virginia",NA,"Animalia","Chordata","Aves"
"Monotropa uniflora","Indian-pipe","Exact Match","Monotropa uniflora","Nebraska","Nebraska","Species of Concern","Plantae","Tracheophyta","Magnoliopsida"
"Moxostoma carinatum","River Redhorse","Exact Match","Moxostoma carinatum","Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Michigan,Minnesota,Mississippi,New York,Ohio,Virginia,West Virginia,Wisconsin","Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Michigan,Mississippi,Missouri,New York,North Carolina,Ohio,Virginia,West Virginia,Wisconsin",NA,"Animalia","Chordata","Teleostei"
"Moxostoma duquesnii","Black Redhorse","Fuzzy Match","Moxostoma duquesnei","Illinois,Iowa,Kansas,Michigan,Minnesota,Mississippi,New York,Wisconsin","Iowa,Kansas,Michigan,Minnesota,Mississippi,New York,Ohio,Wisconsin",NA,"Animalia","Chordata","Teleostei"
"Moxostoma erythrurum","Golden Redhorse","Exact Match","Moxostoma erythrurum","Kansas,Michigan,Mississippi","Kansas,Mississippi",NA,"Animalia","Chordata","Teleostei"
"Moxostoma macrolepidotum","Shorthead Redhorse","Exact Match","Moxostoma macrolepidotum","Arkansas,Delaware,Kansas,Mississippi,North Carolina,Oklahoma,Vermont,Wyoming","Delaware,Kansas,Mississippi,Oklahoma,Vermont,West Virginia",NA,"Animalia","Chordata","Teleostei"
"Moxostoma pisolabrum","Pealip Redhorse","Exact Match","Moxostoma pisolabrum","","Arkansas,Kansas",NA,"Animalia","Chordata","Teleostei"
"Muhlenbergia filiformis","Pull-Up Muhly","Exact Match","Muhlenbergia filiformis","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Muhlenbergia glomerata","Spiked Muhly","Exact Match","Muhlenbergia glomerata","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Muhlenbergia minutissima","Least Muhly","Exact Match","Muhlenbergia minutissima","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Muhlenbergia richardsonis","Mat Muhly","Exact Match","Muhlenbergia richardsonis","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Muhlenbergia sylvatica","Woodland Muhly","Exact Match","Muhlenbergia sylvatica","","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Muhlenbergia tenuiflora","Slim-flower Muhly","Exact Match","Muhlenbergia tenuiflora","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Mustela frenata","Long-tailed Weasel","Exact Match","Mustela frenata","Alabama,Arkansas,Connecticut,Louisiana,Mississippi,Missouri,Nebraska,North Carolina,Ohio,Oklahoma,Texas,Vermont","Alabama,Arizona,Arkansas,Connecticut,Delaware,Iowa,Louisiana,Mississippi,Missouri,Nebraska,Oklahoma,Texas,Vermont",NA,"Animalia","Chordata","Mammalia"
"Mustela nigripes","Black-footed Ferret","Exact Match","Mustela nigripes","Arizona,Colorado,Kansas,Montana,North Dakota,South Dakota,Texas,Utah,Wyoming","Arizona,Colorado,Kansas,Montana,New Mexico,North Dakota,South Dakota,Texas,Utah,Wyoming","Endangered","Animalia","Chordata","Mammalia"
"Mustela nivalis","Least Weasel","Exact Match","Mustela nivalis","Georgia,Illinois,Indiana,Maryland,Michigan,Minnesota,Missouri,New York,North Carolina,Ohio,Tennessee,Virginia,Wyoming","Georgia,Indiana,Iowa,Maryland,Minnesota,Missouri,Tennessee,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Myadestes townsendi","Townsend's Solitaire","Exact Match","Myadestes townsendi","Alaska,Nebraska","Nebraska",NA,"Animalia","Chordata","Aves"
"Myiarchus cinerascens","Ash-throated Flycatcher","Exact Match","Myiarchus cinerascens","Wyoming","Wyoming",NA,"Animalia","Chordata","Aves"
"Myodes gapperi","southern red-backed vole, Revillagigedo Island","Fuzzy Match","Clethrionomys gapperi,Clethrionomys gapperi maurus,Clethrionomys gapperi solus,Clethrionomys gapperi stikinensis,Myodes gapperi","Alaska,Connecticut,Iowa,Kentucky,Michigan,Ohio,South Carolina","Arizona,Colorado,Connecticut,Kentucky,Ohio",NA,"Animalia","Chordata","Mammalia"
"Myosotis laxa","smaller forget-me-not","Exact Match","Myosotis laxa","Nebraska,Vermont","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Myosotis verna","Spring Forget-me-not","Exact Match","Myosotis verna","Nebraska,Vermont","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Myotis ciliolabrum","Western Small-footed Myotis","Exact Match","Myotis ciliolabrum","California,Kansas,Nevada,North Dakota,Wyoming","Idaho,Kansas,Nevada,North Dakota,Texas,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Myotis evotis","Long-eared Myotis","Exact Match","Myotis evotis","California,Nevada,North Dakota,Wyoming","Arizona,California,Nevada,North Dakota,Wyoming","Species of Concern","Animalia","Chordata","Mammalia"
"Myotis grisescens","Gray Bat","Exact Match","Myotis grisescens","Alabama,Arkansas,Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Mississippi,Missouri,North Carolina,Oklahoma,Tennessee,Virginia","Alabama,Arkansas,Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Mississippi,Missouri,North Carolina,Oklahoma,Tennessee,Virginia","Endangered","Animalia","Chordata","Mammalia"
"Myotis lucifugus","Little Brown Bat","Exact Match","Myotis lucifigus,Myotis lucifrugus,Myotis lucifugus","Alabama,Alaska,California,Connecticut,Indiana,Kansas,Mississippi,Nevada,Ohio,Rhode Island,Vermont,Wyoming","Alabama,Alaska,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Idaho,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Wisconsin,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Myotis septentrionalis","Northern Long-eared Bat","Exact Match","Myotis septentrionalis","Alabama,Connecticut,Delaware,Indiana,Iowa,Louisiana,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Vermont,Wisconsin,Wyoming","Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Georgia,Illinois,Indiana,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Vermont,Virginia,West Virginia,Wisconsin,Wyoming","Threatened","Animalia","Chordata","Mammalia"
"Myotis thysanodes","Fringe-Tailed Myotis","Exact Match","Myotis thysanode,Myotis thysanodes,Myotis thysanodes 11,Myotis thysanodes 12,Mytois thysanodes","California,Colorado,Idaho,Montana,Nebraska,Nevada,Oregon,Texas,Utah,Wyoming","California,Colorado,Nevada,Oregon,Texas,Utah,Wyoming","Species of Concern","Animalia","Chordata","Mammalia"
"Myotis thysanodes pahasapensis","fringe-tailed myotis","Exact Match","Myotis thysanodes pahasapensis","South Dakota","Nebraska,South Dakota","Species of Concern","Animalia","Chordata","Mammalia"
"Myotis volans","Long-legged Myotis","Exact Match","Myotis volans,Myotis Volans,Myotis volans (longicrus)","Alaska,California,Nebraska,North Dakota,Oregon,Wyoming","Alaska,California,Nebraska,North Dakota,Oregon,Texas,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Myriophyllum pinnatum","Cutleaf Water-milfoil","Exact Match","Myriophyllum pinnatum","","Massachusetts,Nebraska,Tennessee,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Myriophyllum verticillatum","Whorled Water-milfoil","Exact Match","Myriophyllum verticillatum","Nebraska,Vermont","Massachusetts,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Najas marina","Prickly Naiad","Exact Match","Najas marina","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Navarretia saximontana","Rocky Mountain Navarretia","Exact Match","Navarretia saximontana","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Necturus maculosus","Mudpuppy","Exact Match","Necturus maculosus","Georgia,Illinois,Indiana,Iowa,Kansas,Maryland,Minnesota,New York,North Carolina,Vermont,Virginia,Wisconsin","Connecticut,Illinois,Indiana,Iowa,Kansas,Maryland,Minnesota,New York,Pennsylvania,Tennessee,Vermont,West Virginia",NA,"Animalia","Chordata","Amphibia"
"Nelumbo lutea","American Lotus","Exact Match","Nelumbo lutea","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Nemomydas solitarius","no common name","Exact Match","Nemomydas solitarius","","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Neochoroterpes oklahoma","Pronggill Mayfly","Exact Match","Neochoroterpes oklahoma","","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Neominois ridingsii","Riding's Satyr","Exact Match","Neominois ridingsii","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Neotoma cinerea","Bushy-tailed Woodrat","Exact Match","Neotoma cinerea","Arizona,Nebraska","Nebraska",NA,"Animalia","Chordata","Mammalia"
"Neotoma floridana","Eastern Woodrat","Fuzzy Match","Neotoma floridana,Neotoma floridana floridana,Neotoma floridana haematoreia,Neotoma floridana illinoensis,Neotoma floridana smalli","Florida,Illinois,Nebraska,North Carolina,South Carolina,Tennessee","Florida,Illinois,Nebraska,North Carolina,South Carolina,Tennessee","Endangered","Animalia","Chordata","Mammalia"
"Neotoma floridana baileyi","Bailey's Eastern Woodrat","Legacy Match","Neotoma floridana baileyi","Nebraska","Nebraska",NA,NA,NA,NA
"Nicrophorus americanus","American Burying Beetle","Exact Match","Nicrophorus americanus","Arkansas,Connecticut,Delaware,Illinois,Kansas,Maine,Maryland,Massachusetts,Michigan,Missouri,Nebraska,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Tennessee,Texas,Virginia,Wisconsin","Alabama,Arkansas,Connecticut,Delaware,Illinois,Kansas,Massachusetts,Missouri,Nebraska,New Jersey,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Tennessee,Texas,Virginia","Endangered","Animalia","Arthropoda","Insecta"
"Nocomis asper","Redspot Chub","Exact Match","Nocomis asper","Arkansas,Kansas,Oklahoma","Arkansas,Kansas,Oklahoma",NA,"Animalia","Chordata","Teleostei"
"Nocomis biguttatus","Hornyhead Chub","Exact Match","Nocomis biguttatus","Kansas,North Dakota,Pennsylvania,South Dakota,Wyoming","Kansas,Minnesota,North Dakota,Pennsylvania,South Dakota,Wyoming",NA,"Animalia","Chordata","Teleostei"
"Nomotettix parvus","Low-ridged Pygmy Grasshopper","Exact Match","Nomotettix parvus","Illinois,Kansas","Illinois,Kansas",NA,"Animalia","Arthropoda","Insecta"
"Notamblyscirtes simius","Orange Roadside Skipper","Fuzzy Match","Amblyscirtes simius","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Nothoscordum bivalve","False-garlic","Exact Match","Nothoscordum bivalve","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Notophthalmus viridescens","Eastern Newt","Exact Match","Notophtalmus viridescens,Notophthalmus viridescens,Notopthalmus viridescens","Connecticut,District of Columbia,Iowa,Kansas,Rhode Island","Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Minnesota",NA,"Animalia","Chordata","Amphibia"
"Notropis anogenus","Pugnose Shiner","Exact Match","Notropis anogenus","Illinois,Indiana,Iowa,Michigan,Minnesota,New York,North Dakota,Ohio,Wisconsin","Illinois,Indiana,Iowa,Michigan,Minnesota,North Dakota,Wisconsin",NA,"Animalia","Chordata","Teleostei"
"Notropis blennius","River Shiner","Exact Match","Notropis blennius","Kansas,Pennsylvania,West Virginia","Iowa,Kansas,Pennsylvania,West Virginia",NA,"Animalia","Chordata","Teleostei"
"Notropis boops","Bigeye Shiner","Exact Match","Notropis boops","Illinois,Kansas,Louisiana,Mississippi,Ohio,West Virginia","Illinois,Kansas,Louisiana,Mississippi,Ohio,West Virginia",NA,"Animalia","Chordata","Teleostei"
"Notropis girardi","Arkansas River Shiner","Exact Match","Notropis girardi","Arkansas,Kansas,Oklahoma,Texas","Arkansas,Kansas,New Mexico,Oklahoma,Texas","Threatened","Animalia","Chordata","Teleostei"
"Notropis heterolepis","Blacknose Shiner","Exact Match","Notropis heterolepis,Notropis heterolepis 1,Notropis heterolepis 2","Illinois,Iowa,Missouri,Nebraska,North Dakota,Ohio,South Dakota,Vermont","Illinois,Iowa,Maine,Missouri,Nebraska,New York,North Dakota,Ohio,South Dakota,Vermont",NA,"Animalia","Chordata","Teleostei"
"Notropis nubilus","Ozark Minnow","Exact Match","Notropis nubilus","Illinois,Iowa,Kansas,Minnesota,Oklahoma,Wisconsin","Iowa,Kansas,Minnesota,Wisconsin",NA,"Animalia","Chordata","Teleostei"
