"scientificname","commonname","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","listingStatus","kingdom","phylum","class"
"Bidens polylepis","Coreopsis Beggar-Tick","Exact Match","Bidens polylepis","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Bison bison","Bison","Exact Match","Bison bison,Bison bison athabascae,Bos bison","Alabama,Alaska,Colorado,Missouri,Montana,North Carolina,Ohio","Alabama,Colorado,Montana,Texas,Utah","Threatened","Animalia","Chordata","Mammalia"
"Blarina brevicauda","Short-tailed Shrew","Fuzzy Match","Blarina brevicauda,Blarnia brevicauda","Montana","District of Columbia,Montana",NA,NA,NA,NA
"Blephilia hirsuta","Wood-Mint","Exact Match","Blephilia hirsuta","Nebraska,Vermont","Massachusetts,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Boechera crandallii","Crandall's rock-cress","Exact Match","Boechera crandallii","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Boechera dentata","Short's Rock Cress","Exact Match","Arabis shortii,Boechera dentata","Nebraska","Nebraska,Tennessee,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Boechera glareosa","Dorn's rockcress","Exact Match","Boechera glareosa","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Boechera grahamii","Graham's Rock Cress","Exact Match","Boechera grahamii","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Boloria improba acrocnema","Uncompahgre fritillary","Exact Match","Boloria improba acrochema,Boloria improba acrocnema","Colorado","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Boloria selene","Silver-bordered Fritillary","Exact Match","Boloria selene","Delaware,Maryland,New Mexico,Pennsylvania","Iowa,Maryland,Nebraska,Rhode Island",NA,"Animalia","Arthropoda","Insecta"
"Boltonia asteroides var. latisquama","White Boltonia","Exact Match","Boltonia asteroides var. latisquama","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Bombus fervidus","Yellow Bumble Bee","Exact Match","Bombus fervidus","","Colorado,Idaho,Maine,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Vermont,Virginia,Wisconsin",NA,"Animalia","Arthropoda","Insecta"
"Bombus fraternus","Southern Plains Bumble Bee","Exact Match","Bombusfraternus,Bombus fraternus","Illinois","Colorado,Delaware,Illinois,New Jersey,North Carolina,Oklahoma,Virginia",NA,"Animalia","Arthropoda","Insecta"
"Bombus morrisoni","Morrison bumble bee","Exact Match","Bombus morrisoni","","California,Colorado,Idaho,Washington",NA,"Animalia","Arthropoda","Insecta"
"Bombus occidentalis","Western Bumble Bee","Exact Match","Bombus occidentalis","Alaska,California","California,Colorado,Idaho,Nebraska,Oregon,Washington",NA,"Animalia","Arthropoda","Insecta"
"Bombus pensylvanicus","American Bumble Bee","Fuzzy Match","Bombuspennsylvanicus,Bombus pennsylvanicus,Bombus pensylvanicus,Bombus  pensylvanicus","","Colorado,Connecticut,Delaware,Illinois,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Texas,Vermont,Virginia,Wisconsin",NA,"Animalia","Arthropoda","Insecta"
"Bombus suckleyi","Suckley cuckoo bumble bee","Exact Match","Bombus suckleyi","","California,Colorado,Idaho,Washington",NA,"Animalia","Arthropoda","Insecta"
"Bombus terricola","Yellowbanded Bumble Bee","Exact Match","Bombus terricola","","Connecticut,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,Vermont,Virginia,Wisconsin","Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Insecta"
"Bonasa umbellus","Ruffed Grouse","Exact Match","Bonasa umbellus","Arkansas,California,Connecticut,Delaware,Illinois,Iowa,Kentucky,Massachusetts,Missouri,New Hampshire,New Jersey,New York,Ohio,Rhode Island,South Carolina,Vermont","Connecticut,Delaware,Iowa,Kentucky,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Vermont,Virginia,West Virginia",NA,"Animalia","Chordata","Aves"
"Botaurus lentiginosus","American Bittern","Exact Match","Botarus lentiginosus,Botaurus lentifinosus,Botaurus lentiginosos,Botaurus lentiginosus","Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Wyoming","Arizona,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nevada,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Pennsylvania,South Carolina,Tennessee,Utah,Vermont,West Virginia,Wisconsin,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Botrychium campestre","Prairie Moonwort","Exact Match","Botrychium campestre","Nebraska","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Botrychium lineare","Narrowleaf grape fern","Exact Match","Botrychium lineare","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Polypodiopsida"
"Brachyelytrum erectum","Bearded Short-husk","Exact Match","Brachyelytrum erectum","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Brachylagus idahoensis","Pygmy Rabbit","Exact Match","Brachylagus idahoensis","California,Idaho,Montana,Nevada,Oregon,Utah,Washington,Wyoming","California,Colorado,Idaho,Nevada,Oregon,Utah,Washington,Wyoming","Endangered","Animalia","Chordata","Mammalia"
"Branchinecta potassa","Potassium-loving Fairy Shrimp","Exact Match","Branchinecta potassa","","Nebraska",NA,"Animalia","Arthropoda","Branchiopoda"
"Brasenia schreberi","Watershield","Exact Match","Brasenia schreberi","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Bromus marginatus","Mountain Brome","Exact Match","Bromus marginatus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Bromus porteri","Nodding Brome","Exact Match","Bromus porteri","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Bromus ramosus","Coral ipomopsis","Fuzzy Match","Ipomopsis ramosa","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Bucephala islandica","Barrow's Goldeneye","Exact Match","Bucephala islandica","California,Colorado,Maine,Oregon,Wyoming","California,Colorado,Maine,Washington,Wyoming",NA,"Animalia","Chordata","Aves"
