"scientificname","commonname","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change","listingStatus","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154"
"Cygnus buccinator","Trumpeter Swan","Cygnus buccinator","Arkansas,Idaho,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Montana,Nebraska,Oklahoma,South Dakota,Washington,Wisconsin,Wyoming","Alaska,Arkansas,Idaho,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Nebraska,Ohio,Oklahoma,Oregon,South Dakota,Wyoming",16,15,1," ""result"": true","{""DPS"": ""0"""," ""TSN"": ""174992"""," ""FAMILY"": ""Anatidae"""," ""SPCODE"": ""B08W"""," ""result"": true"," ""COMNAME"": ""Trumpeter swan"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Swan"," trumpeter"""," ""SCINAME"": ""Cygnus buccinator"""," ""VIPCODE"": ""V03"""," ""criteria"": ""Cygnus buccinator"""," ""ENTITY_ID"": ""5421"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-10T00:51:24.028866"""," ""listingStatus"": [{""STATUS"": ""Status Undefined"""," ""POP_DESC"": ""Rocky Mountain Population"""," ""POP_ABBREV"": ""Rocky Mountain""}"," {""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Greater Yellowstone (Tri-state) breeding pop (DPS)"""," ""POP_ABBREV"": ""Greater Yellowstone (Tri-state)""}"," {""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": ""Lost Trail National Wildlife Refuge"," Northwest Montana Wetland Management District-Flathead County""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynomys gunnisoni","Gunnison's Prairie Dog","Cynomys gunnisoni","Arizona,Colorado,New Mexico,Utah","Arizona,Colorado,New Mexico,Utah",4,4,0," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""180184"""," ""FAMILY"": ""Sciuridae"""," ""SPCODE"": ""A0IB"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Gunnison's prairie dog"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Prairie dog"," Gunnison's"""," ""SCINAME"": ""Cynomys gunnisoni"""," ""VIPCODE"": ""V01"""," ""criteria"": ""Cynomys gunnisoni"""," ""ENTITY_ID"": ""8601"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-10T00:53:57.614479"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""central and south-central Colorado"," north-central New Mexico"""," ""POP_ABBREV"": ""central and south-central Colorado"," north-central New Mexico""}]"," ""REFUGE_OCCURRENCE"": ""Sevilleta National Wildlife Refuge"," Alamosa National Wildlife Refuge"," Baca National Wildlife Refuge""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynomys leucurus","White-tailed Prairie Dog","Cynomys leucurus","Colorado,Montana,Utah,Wyoming","Colorado,Montana,Utah",4,3,1," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""180185"""," ""FAMILY"": ""Sciuridae"""," ""SPCODE"": ""A0I6"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""White-tailed prairie dog"""," ""COUNTRY"": ""3"""," ""INVNAME"": ""White-tailed prairie dog"""," ""SCINAME"": ""Cynomys leucurus"""," ""VIPCODE"": ""V01"""," ""criteria"": ""Cynomys leucurus"""," ""ENTITY_ID"": ""6338"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-19T14:39:26.870261"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynomys ludovicianus","Black-tailed Prairie Dog","Cynomys ludovicianus","Arizona,Colorado,Kansas,Montana,New Mexico,North Dakota,Oklahoma,Texas,Wyoming","Arizona,Colorado,Kansas,New Mexico,North Dakota,Oklahoma,Texas",9,7,2," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""180186"""," ""FAMILY"": ""Sciuridae"""," ""SPCODE"": ""A0HI"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Black-tailed prairie dog"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Prairie dog"," black-tailed"""," ""SCINAME"": ""Cynomys ludovicianus"""," ""VIPCODE"": ""V01"""," ""criteria"": ""180186"""," ""ENTITY_ID"": ""1863"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T11:07:41.248551"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus odoratus","no common name","Cyperus engelmannii,Cyperus odoratus","Hawaii,Nebraska","Hawaii,Massachusetts,Nebraska",2,3,-1," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""39894"""," ""FAMILY"": ""Cyperaceae"""," ""SPCODE"": ""Q39Y"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Fragrant flatsedge"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""flatsedge"," Fragrant"""," ""SCINAME"": ""Cyperus odoratus"""," ""VIPCODE"": ""P01"""," ""criteria"": ""Cyperus odoratus"""," ""ENTITY_ID"": ""5659"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-19T13:20:39.496495"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""1"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cypripedium candidum","Small White Lady-slipper","Cypripedium candidum,Cypripedium candidum 5,Cypripedium candidum 6","Missouri,Nebraska","Missouri,Nebraska",2,2,0," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""43542"""," ""FAMILY"": ""Orchidaceae"""," ""SPCODE"": ""Q0JD"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""Small white lady's-slipper"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Lady's-slipper"," small white"""," ""SCINAME"": ""Cypripedium candidum"""," ""VIPCODE"": ""P01"""," ""criteria"": ""Cypripedium candidum"""," ""ENTITY_ID"": ""7729"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-18T16:52:31.797878"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""3"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprogenia aberti","Western Fanshell","Cyprogenia aberti","Arkansas,Kansas,Louisiana,Mississippi,Missouri,Oklahoma","Arkansas,Kansas,Louisiana,Mississippi,Missouri,Oklahoma",6,6,0," ""STATUS"": ""UR""","{""DPS"": ""0"""," ""TSN"": ""80273"""," ""FAMILY"": ""Unionidae"""," ""SPCODE"": ""F01L"""," ""STATUS"": ""UR"""," ""result"": true"," ""COMNAME"": ""Western fanshell"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Fanshell"," western"""," ""SCINAME"": ""Cyprogenia aberti"""," ""VIPCODE"": ""I01"""," ""criteria"": ""Cyprogenia aberti"""," ""ENTITY_ID"": ""5391"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-18T16:48:12.833075"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""4"""," ""listingStatus"": [{""STATUS"": ""Under Review in the Candidate or Petition Process"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cypseloides niger","Black Swift","Cypseloides niger","Alaska,California,Colorado,Idaho,Montana,New Mexico,Oregon,Puerto Rico,Utah","California,Colorado,Idaho,Montana,New Mexico,Utah",9,6,3," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""177997"""," ""FAMILY"": ""Apodidae"""," ""SPCODE"": ""B0FW"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""Black Swift"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Swift"," Black"""," ""SCINAME"": ""Cypseloides niger"""," ""VIPCODE"": ""V01"""," ""criteria"": ""177997"""," ""ENTITY_ID"": ""9526"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T15:13:05.590230"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""1"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draba exunguiculata","Clawless draba","Draba exunguiculata","","Colorado",0,1,-1," ""STATUS"": ""RT""","{""DPS"": ""0"""," ""TSN"": ""22877"""," ""FAMILY"": ""Brassicaceae"""," ""SPCODE"": ""Q28Y"""," ""STATUS"": ""RT"""," ""result"": true"," ""COMNAME"": ""[Unnamed] whitlow-wort"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Whitlow-wort"," [unnamed]"""," ""SCINAME"": ""Draba exunguiculata"""," ""VIPCODE"": ""P01"""," ""criteria"": ""22877"""," ""ENTITY_ID"": ""5352"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T15:58:13.535589"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Resolved Taxon"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draba smithii","Smith whitlow-grass","Draba smithii","","Colorado",0,1,-1," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""22911"""," ""FAMILY"": ""Brassicaceae"""," ""SPCODE"": ""Q3CR"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""No common name"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""No common name"""," ""SCINAME"": ""Draba smithii"""," ""VIPCODE"": ""P01"""," ""criteria"": ""Draba smithii"""," ""ENTITY_ID"": ""5099"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-19T13:19:49.003229"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draba weberi","Weber’s draba","Draba weberi","","Colorado",0,1,-1," ""STATUS"": ""UR""","{""DPS"": ""0"""," ""TSN"": ""506951"""," ""FAMILY"": ""Brassicaceae"""," ""SPCODE"": ""Q3LY"""," ""STATUS"": ""UR"""," ""result"": true"," ""COMNAME"": ""Weber's Whitlow grass"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""grass Weber's Whitlow"""," ""SCINAME"": ""Draba weberi"""," ""VIPCODE"": ""P01"""," ""criteria"": ""506951"""," ""ENTITY_ID"": ""9611"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T11:08:56.605440"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Under Review in the Candidate or Petition Process"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dryocopus pileatus","Pileated Woodpecker","Dryocopus pileatus","Connecticut,Kansas,Maryland,Montana,Nebraska,Ohio,Oregon,Rhode Island,Texas,Washington","Nebraska,Oregon,Rhode Island,South Carolina,Texas",10,5,5," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""178166"""," ""FAMILY"": ""picidae"""," ""SPCODE"": ""B0E0"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""Pileated woodpecker"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""woodpecker"," Pileated"""," ""SCINAME"": ""dryocopus pileatus"""," ""VIPCODE"": ""V01"""," ""criteria"": ""178166"""," ""ENTITY_ID"": ""9137"""," ""queryType"": ""TSN"""," ""dateCached"": ""2017-07-07T15:15:17.755497"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis wolfii","Wolf''s Spikerush","Eleocharis wolfii","Georgia,Nebraska","Georgia,Louisiana,Missouri,Nebraska,Tennessee",2,5,-3," ""STATUS"": ""SC""","{""DPS"": ""0"""," ""TSN"": ""40074"""," ""FAMILY"": ""Cyperaceae"""," ""SPCODE"": ""Q32X"""," ""STATUS"": ""SC"""," ""result"": true"," ""COMNAME"": ""No common name"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""No common name"""," ""SCINAME"": ""Eleocharis wolfii"""," ""VIPCODE"": ""P01"""," ""criteria"": ""Eleocharis wolfii"""," ""ENTITY_ID"": ""1622"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-19T14:16:49.141181"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""3"""," ""listingStatus"": [{""STATUS"": ""Species of Concern"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ellipsoptera nevadica lincolniana","Salt Creek Tiger Beetle","Cicindela nevadica lincolniana","Nebraska","Nebraska",1,1,0," ""STATUS"": ""E""","{""DPS"": ""0"""," ""TSN"": ""697848"""," ""FAMILY"": ""Cicindelidae"""," ""SPCODE"": ""I0QR"""," ""STATUS"": ""E"""," ""result"": true"," ""COMNAME"": ""Salt Creek Tiger beetle"""," ""COUNTRY"": ""1"""," ""INVNAME"": ""Tiger beetle"," Salt Creek"""," ""SCINAME"": ""Cicindela nevadica lincolniana"""," ""VIPCODE"": ""I01"""," ""criteria"": ""Cicindela nevadica lincolniana"""," ""ENTITY_ID"": ""4910"""," ""queryType"": ""SCINAME"""," ""dateCached"": ""2017-07-19T14:38:32.965915"""," ""LEAD_AGENCY"": ""1"""," ""LEAD_REGION"": ""6"""," ""listingStatus"": [{""STATUS"": ""Endangered"""," ""POP_DESC"": ""Wherever found"""," ""POP_ABBREV"": ""Wherever found"""," ""LISTING_DATE"": ""2005-10-06""}]"," ""REFUGE_OCCURRENCE"": null}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
