"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Alaska,California","Alaska",NA,NA,NA,"Secure (breeding), Secure (non-breeding)","1997-01-05","Arenaria melanocephala","https://services.itis.gov/?q=tsn:176574","Black Turnstone","Birds","Species","Exact Match","Arenaria melanocephala"
"Arizona,Kansas,Oklahoma,Texas","Colorado,Kansas,New Mexico,Oklahoma,Texas",NA,NA,NA,"Secure","1997-01-05","Callipepla squamata","https://services.itis.gov/?q=tsn:175872","Scaled Quail","Birds","Species","Exact Match","Callipepla squamata"
"Arizona,Maine,Minnesota,New Mexico,North Carolina,Wisconsin","Arizona,Colorado,Michigan",NA,NA,NA,"Secure","1997-03-19","Hesperiphona vespertina","https://services.itis.gov/?q=tsn:179175","Evening Grosbeak","Birds","Species","Followed Accepted TSN","Coccothraustes vespertinus"
"Arkansas,California,Connecticut,Delaware,District of Columbia,Illinois,Kentucky,Maryland,New Jersey,Oklahoma,Oregon,Pennsylvania,Rhode Island,Tennessee,Wyoming","Arkansas,California,Connecticut,Delaware,Illinois,Iowa,Kentucky,Maine,Maryland,Massachusetts,Minnesota,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,Virginia,Wisconsin,Wyoming","Species of Concern","B0F6","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0F6","Secure (breeding)","1997-03-19","Empidonax traillii","https://services.itis.gov/?q=tsn:178341","Willow Flycatcher","Birds","Species","Fuzzy Match","Empidonax trailii, Empidonax traillii , Empidonax traillii, Empidonax trailli"
"New Mexico,Texas","Arizona,New Mexico,Texas",NA,NA,NA,"Apparently Secure (breeding)","1997-03-19","Peucaea botterii","https://services.itis.gov/?q=tsn:997734","Botteri's Sparrow","Birds","Species","Followed Accepted TSN","Peucaea botterii, Aimophila botterii"
"Arizona,New Mexico","Arizona,New Mexico",NA,NA,NA,"Vulernable (breeding)","1997-03-19","Amazilia violiceps","https://services.itis.gov/?q=tsn:178066","Violet-crowned Hummingbird","Birds","Species","Exact Match","Amazilia violiceps"
"California,Idaho,Maine,Massachusetts,Montana,New York,Oregon,Rhode Island,Washington,Wyoming","California,Idaho,Maine,Maryland,Massachusetts,Montana,New Jersey,New York,Rhode Island,Wyoming","Resolved Taxon","B093","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B093","Apparently Secure (breeding), Apparently Secure (non-breeding)","1997-01-05","Histrionicus histrionicus","https://services.itis.gov/?q=tsn:175149","Harlequin Duck","Birds","Species","Exact Match","Histrionicus histrionicus, Histrionicus histrionicus "
"New Mexico,Texas","New Mexico,Texas",NA,NA,NA,"Apparently Secure","1997-03-19","Camptostoma imberbe","https://services.itis.gov/?q=tsn:178376","Northern Beardless-Tyrannulet","Birds","Species","Exact Match","Camptostoma imberbe"
"California","California",NA,NA,NA,"Secure (breeding), Secure (non-breeding)","1997-01-05","Cerorhinca monocerata","https://services.itis.gov/?q=tsn:177023","Rhinoceros Auklet","Birds","Species","Exact Match","Cerorhinca monocerata"
"Nevada,New Mexico","Arizona,Colorado,Montana,Nevada",NA,NA,NA,"Secure","1997-03-19","Haemorhous cassinii","https://services.itis.gov/?q=tsn:997804","Cassin's Finch","Birds","Species","Followed Accepted TSN","Haemorhous cassinii, Carpodacus cassinii"
"Arizona","",NA,NA,NA,"Apparently Secure","1997-03-19","Baeolophus wollweberi","https://services.itis.gov/?q=tsn:554141","Bridled Titmouse","Birds","Species","Exact Match","Baeolophus wollweberi"
"California,Nevada","California,Nevada","Under Review in the Candidate or Petition Process","B06P","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B06P","Vulnerable","2013-05-28","Agelaius tricolor","https://services.itis.gov/?q=tsn:179060","Tricolored Blackbird","Birds","Species","Exact Match","Agelaius tricolor"
"Arizona,Nevada,Oregon","Arizona,Colorado,Nevada,Oregon",NA,NA,NA,"Apparently Secure","Unknown","Athene cunicularia hypugaea","https://services.itis.gov/?q=tsn:687093","Burrowing Owl (Western)","Birds","Subspecies","Exact Match","Athene cunicularia hypugaea"
"Arizona,District of Columbia,New Jersey,Ohio,Rhode Island,South Carolina","Arizona,District of Columbia,New Jersey,Ohio,South Carolina",NA,NA,NA,"Secure (breeding), Secure (non-breeding)","1997-01-05","Aix sponsa","https://services.itis.gov/?q=tsn:175122","Wood Duck","Birds","Species","Exact Match","Aix sponsa"
