"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Procambarus simulans","Southern Plains Crayfish","Species","Exact Match","Other","Procambarus simulans","Kansas","Kansas,New Mexico",1,2,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Procambarus"
"Procambarus viaeviridis","Vernal Crawfish","Species","Exact Match","Other","Procambarus viaevirdis,Procambarus viaeviridis","Louisiana,Missouri","Alabama,Kentucky,Louisiana",2,3,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Procambarus"
"Progne subis","Purple Martin","Species","Exact Match","Birds","Progne subis","California,Connecticut,Maine,Michigan,New Hampshire,Ohio,Oregon,Rhode Island,Vermont,Washington","California,Colorado,Connecticut,District of Columbia,Florida,Iowa,Maine,Massachusetts,Minnesota,New Hampshire,New Jersey,Pennsylvania,South Carolina,Vermont,Washington,Wisconsin",10,16,NA,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Progne"
"Progomphus obscurus","Common Sanddragon","Species","Exact Match","Insects","Progomphus obscurus","Connecticut,Maryland,New York,Pennsylvania,Rhode Island","Connecticut,Delaware,Maine,Maryland,New York,Ohio,Pennsylvania,Rhode Island,West Virginia",5,9,NA,"Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Progomphus"
"Prosartes trachycarpa","Rough-fruit Fairybells","Species","Exact Match","Plants","Prosartes trachycarpa","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Liliales","Liliaceae","Prosartes"
"Proserpinus flavofasciata","Yellow-banded day sphinx","Species","Exact Match","Insects","Proserpinus flavofasciata","Colorado,Michigan","Colorado,Michigan",2,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Proserpinus"
"Proserpinus juanita","Juanita Sphinx Moth","Species","Fuzzy Match","Insects","Proserpina juanita","","Minnesota",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Proserpinus"
"Prosopium coulterii","pygmy whitefish","Species","Fuzzy Match","Fish","Prosopium coulteri,Prosopium coulterii","Alaska,Idaho,Michigan,Minnesota,Washington","Alaska,Minnesota,Washington",5,3,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Prosopium"
"Prosopium cylindraceum","Round Whitefish","Species","Exact Match","Fish","Prosopium cylindraceum,Prosopium cylindraceus","Alaska,Maine,New Hampshire,New York,Vermont","Alaska,Illinois,Maine,New Hampshire,New York,Vermont",5,6,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Prosopium"
"Protonotaria citrea","Prothonotary Warbler","Species","Fuzzy Match","Birds","Protonaria citrea,Protonotaria citrea","Arkansas,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Nebraska,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Texas,Virginia,Virgin Islands,West Virginia,Wisconsin","Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Maryland,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,West Virginia,Wisconsin",26,26,NA,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Protonotaria"
"Protoptila erotica","a species of saddle casemaker caddisfly","Species","Exact Match","Insects","Protoptila erotica","","Minnesota",0,1,NA,"Animalia","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Protoptila"
