"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Cynosciadium digitatum","Finger Dog-shade","Species","Exact Match","Plants","Cynosciadium digitatum","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Cynosciadium"
"Cyperus hystricinus","Flatsedge","Species","Exact Match","Plants","Cyperus hystricinus","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Cyperus"
"Cyperus lupulinus ssp. macilentus","Great Plains Flatsedge","Subspecies","Exact Match","Plants","Cyperus lupulinus ssp. macilentus","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Cyperus"
"Cyperus odoratus","Engelmann's Flatsedge","Species","Fuzzy Match","Plants","Cyperus engelmannii,Cyperus odoratus","Hawaii,Nebraska","Hawaii,Massachusetts,Nebraska",2,3,"Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Cyperus"
"Cyperus retrofractus","Teasel-like Cyperus","Species","Exact Match","Plants","Cyperus retrofractus","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Cyperus"
"Cyprinella camura","Bluntface Shiner","Species","Exact Match","Fish","Cyprinella camura,Cyprinella camurus","Arkansas,Kentucky,Louisiana,Missouri,Oklahoma","Arkansas,Kentucky,Louisiana,Missouri,Oklahoma",5,5,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Cyprinella"
"Cyprinella galactura","Whitetail Shiner","Species","Exact Match","Fish","Cyprinella galactura","Mississippi,South Carolina","Mississippi,Missouri,South Carolina",2,3,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Cyprinella"
"Cyprinella spiloptera","Spotfin Shiner","Species","Fuzzy Match","Fish","Cyprinella spiloptera,Cyprinella spilopterus","Arkansas,Kansas,Mississippi,Oklahoma","Arkansas,Kansas,Mississippi,New Jersey,Oklahoma",4,5,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Cyprinella"
"Cyprinella venusta","Blacktail Shiner","Species","Exact Match","Fish","Cyprinella venusta","Illinois,Kentucky","Illinois,Kentucky",2,2,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Cyprinella"
"Cyprinella whipplei","Steelcolor Shiner","Species","Exact Match","Fish","Cyprinella whipplei","Louisiana,Mississippi,Virginia","Louisiana,Mississippi,Missouri,Virginia",3,4,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Cyprinella"
"Cypripedium candidum","Small White Lady-slipper","Species","Exact Match","Plants","Cypripedium candidum,Cypripedium candidum 5,Cypripedium candidum 6","Missouri,Nebraska","Missouri,Nebraska",2,2,"Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Orchidaceae","Cypripedium"
"Cypripedium parviflorum","Yellow Lady's-slipper","Species","Exact Match","Plants","Cypripedium parviflorum","Nebraska","Massachusetts,Nebraska",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Orchidaceae","Cypripedium"
"Cypripedium reginae","Showy Lady's-slipper","Species","Exact Match","Plants","Cypripedium reginae","Missouri","Connecticut,Massachusetts,Missouri,Tennessee,West Virginia",1,5,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Orchidaceae","Cypripedium"
"Cyprogenia aberti","Western Fanshell","Species","Exact Match","Mollusks","Cyprogenia aberti","Arkansas,Kansas,Louisiana,Mississippi,Missouri,Oklahoma","Arkansas,Kansas,Louisiana,Mississippi,Missouri,Oklahoma",6,6,"Under Review in the Candidate or Petition Process","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Cyprogenia"
"Cyprogenia stegaria","Fanshell","Species","Exact Match","Mollusks","Cyprogenia stegaria","Alabama,Illinois,Indiana,Kentucky,Ohio,Tennessee,Virginia,West Virginia","Alabama,Illinois,Indiana,Kentucky,Ohio,Pennsylvania,Tennessee,Virginia,West Virginia",8,9,"Experimental Population, Non-Essential","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Cyprogenia"
"Cystopteris bulbifera","Bulblet Bladder Fern","Species","Exact Match","Plants","Cystopteris bulbifera","Nebraska","Nebraska,South Carolina",1,2,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Woodsiaceae","Cystopteris"
"Cystopteris tenuis","Fragile fern","Species","Exact Match","Plants","Cystopteris tenuis","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Woodsiaceae","Cystopteris"
"Dactylorhiza viridis","Long-bracted Green Orchid","Species","Fuzzy Match","Plants","Coeloglossum viride,Coeloglossum viride var. virescens,Dactylorhiza viridis","Missouri,Nebraska","Massachusetts,Nebraska,Tennessee,West Virginia",2,4,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Orchidaceae","Dactylorhiza"
"Dalea cylindriceps","Large-spike Prairie-clover","Species","Exact Match","Plants","Dalea cylindriceps","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dalea"
"Dalea enneandra","Nine-anthered prairie clover","Species","Exact Match","Plants","Dalea enneandra","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dalea"
"Dalea gattingeri","Gattinger's prairie clover","Species","Exact Match","Plants","Dalea gattingeri","Missouri","Missouri",1,1,"Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dalea"
"Dalea multiflora","Round-headed Prairie Clover","Species","Exact Match","Plants","Dalea multiflora","Missouri,Nebraska","Nebraska",2,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dalea"
"Danaus plexippus","Monarch Butterfly","Species","Fuzzy Match","Insects","Danaus plexippus,Danaus plexippus (overwintering sites),Danaus P. Plexippus","California,District of Columbia,Kansas","Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Idaho,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Michigan,Minnesota,Missouri,New Hampshire,New Jersey,North Carolina,North Dakota,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,Washington",3,27,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus"
"Dannella lita","Spiny Crawler Mayfly","Species","Exact Match","Insects","Dannella lita","Wisconsin","Illinois",1,1,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Dannella"
"Dannella simplex","A Mayfly","Species","Exact Match","Insects","Dannella simplex","Florida","Florida,Illinois",1,2,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Dannella"
"Danthonia spicata","Poverty Oatgrass","Species","Exact Match","Plants","Danthonia spicata","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Danthonia"
"Dasistoma macrophylla","Mullein Foxglove","Species","Exact Match","Plants","Dasistoma macrophylla","Nebraska","Louisiana,Nebraska,South Carolina,West Virginia",1,4,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Dasistoma"
"Dasycorixa hybrida","no common name","Species","Exact Match","Insects","Dasycorixa hybrida","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Dasycorixa"
"Decodon verticillatus","Swamp-loosestrife","Species","Exact Match","Plants","Decodon verticillatus","Missouri","Missouri,West Virginia",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","Decodon"
"Deirochelys reticularia miaria","Western Chicken Turtle","Subspecies","Exact Match","Reptiles","Deirochelys reticularia miaria","Arkansas,Mississippi,Missouri,Oklahoma","Louisiana,Mississippi,Missouri,Oklahoma",4,4,NA,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Deirochelys"
"Delphinium exaltatum","Tall Larkspur","Species","Exact Match","Plants","Delphinium exaltatum","Missouri","Missouri,Tennessee,West Virginia",1,3,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Delphinium"
"Delphinium geyeri","Geyer's Larkspur","Species","Exact Match","Plants","Delphinium geyeri","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Delphinium"
"Delphinium nuttallianum","Blue Larkspur","Species","Exact Match","Plants","Delphinium nuttallianum","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Delphinium"
"Delphinium treleasei","Trelease's larkspur","Species","Exact Match","Plants","Delphinium treleasei","","Missouri",0,1,"Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Delphinium"
"Delphinium tricorne","Dwarf Larkrspur","Species","Exact Match","Plants","Delphinium tricorne","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Delphinium"
"Dennstaedtia punctilobula","Hay-scented fern","Species","Exact Match","Plants","Dennstaedtia punctilobula","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dennstaedtiaceae","Dennstaedtia"
"Descurainia pinnata ssp. halictorum","Pinnate Tansy Mustard","Subspecies","Fuzzy Match","Plants","Descurainia pinnata var. osmiarum","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Descurainia"
"Desmodium cuspidatum var. longifolium","Long-leaf Tick-clover","Variety","Exact Match","Plants","Desmodium cuspidatum var. longifolium","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"Desmodium sessilifolium","Sessile-Leaf Tick-Clover","Species","Exact Match","Plants","Desmodium sessilifolium","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"Desmodium strictum","Sand tick trefoil","Species","Exact Match","Plants","Desmodium strictum","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"Desmodium viridiflorum","Velvetleaf tick trefoil","Species","Exact Match","Plants","Desmodium viridiflorum","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"Desmognathus conanti","Spotted Dusky Salamander","Species","Exact Match","Amphibians","Desmognathus conanti","Arkansas,Illinois,Kentucky","Arkansas,Illinois,Kentucky,North Carolina",3,4,NA,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus"
"Desmognathus fuscus","Northern Dusky Salamander","Species","Exact Match","Amphibians","Desmognathus fuscus,Desmognathus fuscus fuscus,Desomognathus fuscus","Connecticut,District of Columbia,Kentucky,Ohio,Rhode Island","Connecticut,Delaware,District of Columbia,Kentucky,Michigan,New Jersey,Ohio,Rhode Island,West Virginia",5,9,NA,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus"
"Desmognathus ochrophaeus","Allegheny Mountain Dusky Salamander","Species","Exact Match","Amphibians","Desmognathus ochrophaeus","Kentucky,Maryland,Ohio","Kentucky,New Jersey,West Virginia",3,3,NA,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus"
"Desmognathus welteri","Black Mountain Salamander","Species","Exact Match","Amphibians","Desmognathus welteri","Kentucky,Tennessee,West Virginia","Kentucky,Tennessee,West Virginia",3,3,NA,"Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus"
"Destria crocea","A Leafhopper","Unknown Taxonomic Rank","Legacy Match","Insects","Destria crocea","Wisconsin","Wisconsin",1,1,NA,NA,NA,NA,NA,NA,NA
"Destria fumida","a leafhopper","Unknown Taxonomic Rank","Legacy Match","Insects","Destria fumida","Illinois","Illinois",1,1,NA,NA,NA,NA,NA,NA,NA
"Diacyclops yeatmani","Yeatman's Groundwater Copepod","Species","Exact Match","Other","Diacyclops yeatmani","Missouri,Tennessee","Illinois,Missouri,Tennessee",2,3,NA,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Diacyclops"
"Diadophis punctatus","Ring-necked Snake","Species","Exact Match","Reptiles","Diadophis punctatus,Didadophis punctatus","Idaho,Utah","Delaware,District of Columbia,Iowa,Nevada,Washington",2,5,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Diadophis"
"Diadophis punctatus arnyi","Prairie Ringneck Snake","Subspecies","Exact Match","Reptiles","Diadophis punctatus arnyi","Wisconsin","Wisconsin",1,1,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Diadophis"
"Diadophis punctatus edwardsii","Northern Ringneck Snake","Subspecies","Exact Match","Reptiles","Diadophis punctatus edwardsii,Diadophis punctatus edwardsii (northern subspecies)","District of Columbia,Michigan,Ohio","Michigan,Minnesota,New Jersey,West Virginia",3,4,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Diadophis"
"Diarrhena americana","American beak grass","Species","Exact Match","Plants","Diarrhena americana","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Diarrhena"
"Dichagyris grotei","Grote's Black-tipped Quaker","Species","Exact Match","Insects","Dichagyris grotei","","Illinois,Pennsylvania",0,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Dichagyris"
"Dichagyris reliqua","The relic","Species","Exact Match","Insects","Dichagyris reliqua","","Michigan,Missouri,New Jersey,Wisconsin",0,4,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Dichagyris"
"Dichanthelium depauperatum","Starved Spring-panicum","Species","Exact Match","Plants","Dichanthelium depauperatum,Panicum depauperatum","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Dichanthelium"
"Dichanthelium latifolium","Broad-leaf Spring-Panicum","Species","Exact Match","Plants","Dichanthelium latifolium","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Dichanthelium"
"Dichanthelium linearifolium","Slender-leaf Spring-panicum","Species","Exact Match","Plants","Dichanthelium linearifolium","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Dichanthelium"
"Dichromorpha viridis","Short-winged Grasshopper","Species","Exact Match","Insects","Dichromorpha viridis","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Dichromorpha"
"Dicranopselaphus variegatus","Variegated False Water Penny Beetle","Species","Exact Match","Insects","Dicranopselaphus variegatus","","Illinois",0,1,"Species of Concern","Animalia","Arthropoda","Insecta","Coleoptera","Psephenidae","Dicranopselaphus"
"Didymops transversa","Stream Cruiser","Species","Exact Match","Insects","Didymops transversa","","Delaware,Iowa",0,2,NA,"Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Didymops"
"Dieteria canescens var. glabra","Hoary-aster","Variety","Exact Match","Plants","Dieteria canescens var. glabra","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Dieteria"
"Digrammia ordinata","an inch worm moth","Species","Exact Match","Insects","Digrammia ordinata","Illinois","Illinois",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Digrammia"
"Diodella teres","Rough Buttonweed","Species","Fuzzy Match","Plants","Diodia teres var. teres","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Diodella"
"Dioscorea villosa","Wild Yam","Species","Exact Match","Plants","Dioscorea villosa","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Dioscoreales","Dioscoreaceae","Dioscorea"
"Diospyros virginiana","Persimmon","Species","Exact Match","Plants","Diospyros virginiana","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Ebenaceae","Diospyros"
"Diplectrona metaqui","Seep Inhabiting Net-Spinning Caddisfly","Species","Fuzzy Match","Insects","Diplectrona metaqui,Diplectrona metequi","","Illinois,North Carolina",0,2,NA,"Animalia","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona"
"Diploperla robusta","Robust Springfly","Species","Exact Match","Insects","Diploperla robusta","","Illinois",0,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlodidae","Diploperla"
"Diporeia hoyi","Great Lakes Amphipod","Species","Exact Match","Other","Diporeia hoyi","Vermont","Illinois,Vermont",1,2,NA,"Animalia","Arthropoda","Malacostraca","Amphipoda","Pontoporeiidae","Diporeia"
"Discus macclintocki","Iowa Pleistocene Snail","Species","Exact Match","Mollusks","Discus macclintocki,Sicus macclintocki","Illinois,Iowa","Illinois,Iowa",2,2,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Discidae","Discus"
"Discus patulus","Domed Disc","Species","Exact Match","Mollusks","Discus patulus","Michigan","Michigan,Pennsylvania",1,2,NA,"Animalia","Mollusca","Gastropoda","Stylommatophora","Discidae","Discus"
"Distigmoptera impennata","A Leaf Beetle","Species","Exact Match","Insects","Distigmoptera impennata","","Wisconsin",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Distigmoptera"
"Doellingeria umbellata var. pubens","Flat-Top Aster","Variety","Exact Match","Plants","Doellingeria umbellata var. pubens","Missouri,Nebraska","Nebraska",2,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Doellingeria"
"Dolania americana","American Sand Burrowing Mayfly","Species","Exact Match","Insects","Dolania americana,Dolania Americana","Florida,South Carolina,Wisconsin","Florida,South Carolina,Wisconsin",3,3,"Species of Concern","Animalia","Arthropoda","Insecta","Ephemeroptera","Behningiidae","Dolania"
"Dolichonyx oryzivorus","Bobolink","Species","Fuzzy Match","Birds","Dolichonyx oryzivorus,Dolichonyx orzivorus","Colorado,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,Michigan,Minnesota,Montana,Nevada,New Jersey,New York,North Carolina,North Dakota,Ohio,Oregon,Puerto Rico,Rhode Island,Utah,Vermont,West Virginia,Wisconsin,Wyoming","Colorado,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Minnesota,Missouri,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming",27,29,NA,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Dolichonyx"
"Dorocordulia libera","Racket-tailed Emerald","Species","Exact Match","Insects","Dorocordulia libera","Ohio","Ohio",1,1,NA,"Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Dorocordulia"
"Dorydiella kansana","Leafhopper","Unknown Taxonomic Rank","Legacy Match","Insects","Dorydiella kansana","Michigan","Michigan",1,1,NA,NA,NA,NA,NA,NA,NA
"Draba brachycarpa","Short-pod Draba","Species","Exact Match","Plants","Draba brachycarpa","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Draba"
"Draba cuneifolia var. cuneifolia","Wedge-leaf Draba","Variety","Exact Match","Plants","Draba cuneifolia var. cuneifolia","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Draba"
"Dracocephalum parviflorum","American Dragon's-head","Species","Exact Match","Plants","Dracocephalum parviflorum","Vermont","Nebraska,Vermont",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Dracocephalum"
"Driotura robusta","A Leafhopper","Unknown Taxonomic Rank","Legacy Match","Insects","Driotura robusta","Wisconsin","Wisconsin",1,1,NA,NA,NA,NA,NA,NA,NA
"Dromochorus pruininus","Loamy-ground Tiger Beetle","Species","Fuzzy Match","Insects","Cicindela pruinina,Dromochorus pruinina","Missouri","Missouri",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Dromochorus"
"Dromus dromas","Dromedary Pearlymussel","Species","Exact Match","Mollusks","Dromus dromas","Alabama,Kentucky,Tennessee,Virginia","Alabama,Kentucky,Tennessee,Virginia",4,4,"Experimental Population, Non-Essential","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Dromus"
"Drunella cornuta","A Spiny Crawler Mayfly","Species","Exact Match","Insects","Drunella cornuta","","Wisconsin",0,1,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Dryobius sexnotatus","Six-banded longhorn beetle","Species","Exact Match","Insects","Dryobius sexnotatus","Arkansas,Indiana,Maryland,Michigan,Pennsylvania,Virginia","Arkansas,Louisiana,Maryland,Michigan,Pennsylvania,Virginia",6,6,"Species of Concern","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Dryobius"
"Dryocopus pileatus","Pileated Woodpecker","Species","Exact Match","Birds","Dryocopus pileatus","Connecticut,Kansas,Maryland,Montana,Nebraska,Ohio,Oregon,Rhode Island,Texas,Washington","Nebraska,Oregon,Rhode Island,South Carolina,Texas",10,5,"Species of Concern","Animalia","Chordata","Aves","Piciformes","Picidae","Dryocopus"
"Dryopteris carthusiana","Spinulose Shield Fern","Species","Exact Match","Plants","Dryopteris carthusiana","Missouri,Nebraska","Missouri,Nebraska,South Carolina,Tennessee",2,4,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris"
"Dryopteris celsa","Log Fern","Species","Exact Match","Plants","Dryopteris celsa","Missouri","Louisiana,Missouri,West Virginia",1,3,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris"
"Dryopteris cristata","Crested shield fern","Species","Exact Match","Plants","Dryopteris cristata","Missouri","Missouri,Nebraska,Tennessee",1,3,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris"
"Dryopteris goldiana","Goldie fern","Species","Exact Match","Plants","Dryopteris goldiana","Missouri","Missouri,South Carolina",1,2,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris"
"Dryopteris intermedia","Evergreen Woodfern","Species","Exact Match","Plants","Dryopteris intermedia","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris"
"Dubiraphia robusta","Robust Dubiraphian Riffle Beetle","Species","Exact Match","Insects","Dubiraphia robusta","Wisconsin","Wisconsin",1,1,"Species of Concern","Animalia","Arthropoda","Insecta","Coleoptera","Elmidae","Dubiraphia"
"Dytiscus alaskanus","A Predaceous Diving Beetle","Species","Exact Match","Insects","Dytiscus alaskanus","Wisconsin","Wisconsin",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Dytiscus"
"Eacles imperialis pini","Imperial moth","Subspecies","Exact Match","Insects","Eacles imperialis pini","Michigan,New York,Vermont","Michigan,New York,Vermont",3,3,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Eacles"
"Echinacea pallida","Pale Purple Coneflower","Species","Exact Match","Plants","Echinacea pallida","Nebraska","Nebraska,Tennessee",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Echinacea"
"Echinacea paradoxa","Yellow coneflower","Species","Exact Match","Plants","Echinacea paradoxa","","Missouri",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Echinacea"
"Echinargus isola","Reakirt's Blue","Species","Exact Match","Insects","Echinargus (Hemiargus) isola,Hemiargus isola","Louisiana","Iowa",1,1,"Resolved Taxon","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Echinargus"
"Echinocereus viridiflorus","Hedgehog Cactus","Species","Exact Match","Plants","Echinocereus viridiflorus","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Echinocereus"
"Egretta caerulea","Little Blue Heron","Species","Exact Match","Birds","Egretta caerulea","Arkansas,Connecticut,Delaware,Florida,Illinois,Kansas,Kentucky,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,South Carolina,Tennessee,Texas,Virginia,Virgin Islands","Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kentucky,Louisiana,Maine,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Oklahoma,South Carolina,Tennessee,Texas,Virginia",21,21,NA,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta"
"Egretta thula","Snowy Egret","Species","Exact Match","Birds","Egetta thula,Egretta thula","Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Idaho,Illinois,Kansas,Maine,Maryland,Massachusetts,Mississippi,Missouri,Nevada,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Rhode Island,South Carolina,Texas,Wisconsin,Wyoming","Arizona,Connecticut,Delaware,Florida,Illinois,Maine,Maryland,Massachusetts,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Rhode Island,South Carolina,Texas,Virginia,Wyoming",27,21,NA,"Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta"
"Elanoides forficatus","American Swallow-tailed Kite","Species","Fuzzy Match","Birds","Elanoides forficatus,Elanoides forticatus","Alabama,Florida,Georgia,Kentucky,Louisiana,Mississippi,Missouri,North Carolina,Ohio,Oklahoma,South Carolina,Tennessee,Texas","Alabama,Arkansas,Florida,Georgia,Kentucky,Louisiana,Mississippi,North Carolina,Oklahoma,South Carolina,Texas",13,11,"Species of Concern","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Elanoides"
"Elaphe guttata","Cornsnake","Species","Exact Match","Reptiles","Elaphe g. guttata,Elaphe guttata","Delaware,Maryland,New Jersey,Utah","Kentucky",4,1,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe"
"Elaphe guttata emoryi","Great plains ratsnake","Subspecies","Exact Match","Reptiles","Elaphe guttata emoryi,Pantherophis emoryi","","Illinois,Missouri",0,2,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe"
"Elaphe obsoleta","Eastern Ratsnake","Species","Exact Match","Reptiles","Elaphe obsoleta,Elaphe obsoleta obsoleta,Elaphe obsolete","Massachusetts,Michigan,Minnesota,New York,Ohio,Rhode Island,Vermont","Iowa,New Jersey",7,2,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe"
"Elaphe spiloides","Gray rat snake","Species","Fuzzy Match","Insects","Pantherophis spiloides","Wisconsin","Michigan,Wisconsin",1,2,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe"
"Elaphe vulpina","western fox snake","Species","Exact Match","Reptiles","Elaphe vulpina,Pantherophis vulpinus","Michigan,Minnesota,Missouri","Missouri",3,1,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe"
"Elassoma zonatum","Banded Pygmy Sunfish","Species","Exact Match","Fish","Elassoma zonatum,Elassoma  zonatum","Illinois,Indiana,North Carolina","Illinois,Indiana,Missouri",3,3,NA,"Animalia","Chordata","Teleostei","Perciformes","Elassomatidae","Elassoma"
"Elatine brachysperma","Short-seed Waterwort","Species","Exact Match","Plants","Elatine brachysperma","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Elatinaceae","Elatine"
