"scientificname","statelist_2015","Montana","Wyoming","Colorado","North Dakota","South Dakota","Nebraska","Kansas"
"Gastrophryne olivacea","Arizona,Arkansas,Colorado,Missouri,Nebraska,New Mexico",0,0,1,0,0,1,0
"Gavia immer","California,Connecticut,Delaware,Florida,Idaho,Iowa,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Rhode Island,South Carolina,Vermont,Washington,Wyoming",0,1,0,0,0,0,0
"Gentiana alba","Nebraska,West Virginia",0,0,0,0,0,1,0
"Geomys bursarius","Indiana,Iowa,Wyoming",0,1,0,0,0,0,0
"Geothlypis formosa","Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin",0,0,0,0,0,1,1
"Geranium maculatum","Louisiana,Nebraska",0,0,0,0,0,1,0
"Geranium viscosissimum","Nebraska",0,0,0,0,0,1,0
"Geum vernum","Nebraska,Vermont",0,0,0,0,0,1,0
"Gila cypha","Arizona,Colorado,Utah",0,0,1,0,0,0,0
"Gila elegans","Arizona,California,Colorado,Nevada,Utah",0,0,1,0,0,0,0
"Gila pandora","Colorado,New Mexico,Texas",0,0,1,0,0,0,0
"Gila robusta","Arizona,Colorado,New Mexico,Utah,Wyoming",0,1,1,0,0,0,0
"Glaucidium gnoma","Utah,Wyoming",0,1,0,0,0,0,0
"Glaucomys sabrinus","Alaska,Connecticut,Massachusetts,Michigan,Nevada,New Jersey,Pennsylvania,South Dakota,Vermont,Wisconsin,Wyoming",0,1,0,0,1,0,0
"Glaucomys volans","District of Columbia,Iowa,Kansas,Nebraska,Ohio,Vermont",0,0,0,0,0,1,1
"Glaucopsyche lygdamus","Connecticut,Iowa,Maryland,Nebraska,Ohio",0,0,0,0,0,1,0
"Glaucopsyche piasus","Nebraska",0,0,0,0,0,1,0
"Glyceria borealis","Nebraska",0,0,0,0,0,1,0
"Gnaphalium palustre","Nebraska",0,0,0,0,0,1,0
"Goodyera oblongifolia","Nebraska,Vermont",0,0,0,0,0,1,0
"Graptemys geographica","Iowa,Kansas,Maryland,New York,North Carolina,Ohio,Oklahoma,Virginia,West Virginia",0,0,0,0,0,0,1
"Graptemys pseudogeographica","Iowa,North Dakota,South Dakota",0,0,0,1,1,0,0
"Gratiola neglecta","Nebraska",0,0,0,0,0,1,0
"Grindelia ciliata","Nebraska",0,0,0,0,0,1,0
"Grindelia hirsutula","Nebraska",0,0,0,0,0,1,0
"Grus americana","Colorado,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Montana,Nebraska,North Dakota,Oklahoma,South Dakota,Tennessee,Texas,Wisconsin",1,0,1,1,1,1,1
"Grus canadensis","Idaho,Illinois,Indiana,Kentucky,Louisiana,Nebraska,Ohio",0,0,0,0,0,1,0
"Grus canadensis tabida","California,Colorado,Florida,Nevada,Washington,Wyoming",0,1,1,0,0,0,0
"Gryllotalpa major","Arkansas,Illinois,Kansas,Mississippi,Missouri,Oklahoma",0,0,0,0,0,0,1
"Gulo gulo","California,Colorado,Idaho,Oregon,Utah,Washington,Wyoming",0,1,1,0,0,0,0
"Gumaga griseola","Colorado",0,0,1,0,0,0,0
"Gymnorhinus cyanocephalus","Arizona,Colorado,Idaho,Nebraska,Nevada,New Mexico,Oklahoma",0,0,1,0,0,1,0
"Hackelia gracilenta","Colorado",0,0,1,0,0,0,0
"Haliaeetus leucocephalus","Alaska,Arizona,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Washington,West Virginia,Wyoming",0,1,1,1,1,1,1
"Hedeoma pulegioides","Nebraska",0,0,0,0,0,1,0
"Helianthemum bicknellii","Nebraska,Tennessee,Vermont,West Virginia",0,0,0,0,0,1,0
"Helianthus mollis","Nebraska",0,0,0,0,0,1,0
"Heliotropium curassavicum var. curassavicum","Nebraska",0,0,0,0,0,1,0
"Heliotropium curassavicum var. obovatum","Nebraska",0,0,0,0,0,1,0
"Helopicus nalatus","Kansas",0,0,0,0,0,0,1
"Hemileuca neumoegeni","Colorado",0,0,1,0,0,0,0
"Herrickia horrida","Colorado",0,0,1,0,0,0,0
"Hesperia attalus attalus","Kansas",0,0,0,0,0,0,1
"Hesperia colorado","Nebraska",0,0,0,0,0,1,0
"Hesperia dacotae","Illinois,Iowa,Minnesota,North Dakota,South Dakota",0,0,0,1,1,0,0
"Hesperia leonardus montana","Colorado",0,0,1,0,0,0,0
"Hesperia metea","Arkansas,Delaware,Illinois,Louisiana,Maine,Maryland,Nebraska,Ohio,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin",0,0,0,0,0,1,0
"Hesperia ottoe","Colorado,Illinois,Iowa,Kansas,Michigan,Minnesota,Missouri,Nebraska,South Dakota,Wisconsin",0,0,1,0,1,1,1
"Hesperia pahaska","Nebraska",0,0,0,0,0,1,0
"Hesperia uncas","Minnesota,Nebraska",0,0,0,0,0,1,0
"Hesperia viridis","Nebraska",0,0,0,0,0,1,0
"Heteranthera multiflora","Nebraska,Tennessee",0,0,0,0,0,1,0
"Heterodon nasicus","Illinois,Iowa,Kansas,Minnesota,Montana,North Dakota,Texas,Wyoming",1,1,0,1,0,0,1
"Heterodon platirhinos","Connecticut,Delaware,Florida,Iowa,Kansas,Louisiana,Massachusetts,Minnesota,Nebraska,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,Rhode Island,South Dakota,Tennessee,Virginia,West Virginia",0,0,0,0,1,1,1
"Heterotheca subaxillaris ssp. latifolia","Nebraska",0,0,0,0,0,1,0
"Heterotheca villosa var. minor","Nebraska",0,0,0,0,0,1,0
"Hieracium umbellatum","Nebraska,Vermont",0,0,0,0,0,1,0
"Himantopus mexicanus","Delaware,Georgia,Kansas,Kentucky,Nebraska,Oregon,Wisconsin",0,0,0,0,0,1,1
"Hiodon alosoides","Alabama,Arkansas,Ohio,Texas,West Virginia,Wisconsin,Wyoming",0,1,0,0,0,0,0
"Hippuris vulgaris","Nebraska,Vermont",0,0,0,0,0,1,0
"Histrionicus histrionicus","California,Idaho,Maine,Massachusetts,Montana,New York,Oregon,Rhode Island,Washington,Wyoming",1,1,0,0,0,0,0
"Holbrookia maculata","Kansas,Oklahoma,South Dakota",0,0,0,0,1,0,1
"Holbrookia maculata maculata","Wyoming",0,1,0,0,0,0,0
"Homoeoneuria alleni","Colorado",0,0,1,0,0,0,0
"Houstonia purpurea var. calycosa","Louisiana,Nebraska",0,0,0,0,0,1,0
"Houstonia pusilla","Nebraska",0,0,0,0,0,1,0
"Hybognathus argyritis","Iowa,Kansas,Missouri,Nebraska,Wyoming",0,1,0,0,0,1,1
"Hybognathus hankinsoni","Colorado,Illinois,Kansas,Missouri,Wyoming",0,1,1,0,0,0,1
"Hybognathus placitus","Arkansas,Colorado,Illinois,Iowa,Kansas,Kentucky,Missouri,Nebraska,Oklahoma,Tennessee,Wyoming",0,1,1,0,0,1,1
"Hybopsis dorsalis","Indiana,Michigan,New York,Ohio,Pennsylvania,Tennessee,Wyoming",0,1,0,0,0,0,0
"Hydroperla fugitans","Illinois,Kansas,Missouri",0,0,0,0,0,0,1
"Hydrophyllum appendiculatum","Nebraska",0,0,0,0,0,1,0
"Hydroprogne caspia","Florida,Idaho,Iowa,Louisiana,Michigan,Montana,New Jersey,New York,North Carolina,Oregon,Utah,Wisconsin,Wyoming",1,1,0,0,0,0,0
"Hyla arenicolor","Colorado",0,0,1,0,0,0,0
"Hyla chrysoscelis","Delaware,District of Columbia,Iowa,New Jersey,Pennsylvania,South Dakota",0,0,0,0,1,0,0
"Hylephila phyleus","Nebraska",0,0,0,0,0,1,0
"Hylocichla mustelina","Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia",0,0,0,0,0,1,0
"Hypentelium nigricans","Kansas,New Jersey",0,0,0,0,0,0,1
"Hypericum ascyron ssp. pyramidatum","Missouri,Nebraska",0,0,0,0,0,1,0
"Hypericum punctatum","Nebraska",0,0,0,0,0,1,0
"Hypericum sphaerocarpum","Nebraska",0,0,0,0,0,1,0
"Hypochilus bonneti","Colorado",0,0,1,0,0,0,0
"Hypopitys monotropa","Louisiana,Nebraska,Vermont",0,0,0,0,0,1,0
"Ichthyomyzon castaneus","Illinois,Iowa,Kansas,Kentucky,Mississippi,Nebraska,North Dakota",0,0,0,1,0,1,1
"Ichthyomyzon unicuspis","Illinois,Iowa,Nebraska,North Dakota,Ohio,Tennessee,Vermont,West Virginia",0,0,0,1,0,1,0
"Icterus bullockii","Arizona,Kansas,Oklahoma",0,0,0,0,0,0,1
"Icterus galbula","Connecticut,Delaware,District of Columbia,Iowa,Kansas,Maine,New Jersey,South Carolina",0,0,0,0,0,0,1
"Ictinia mississippiensis","Arizona,Florida,Illinois,Indiana,Kansas,Kentucky,Nebraska,Tennessee,Texas",0,0,0,0,0,1,1
"Ictiobus niger","Iowa,Kansas,Kentucky,Minnesota,Mississippi,Nebraska,Ohio,Oklahoma,West Virginia,Wisconsin",0,0,0,0,0,1,1
"Idionycteris phyllotis","Arizona,Colorado,Nevada,Utah",0,0,1,0,0,0,0
"Ipomoea pandurata","Nebraska",0,0,0,0,0,1,0
"Ipomopsis aggregata ssp. weberi","Colorado",0,0,1,0,0,0,0
"Ipomopsis globularis","Colorado",0,0,1,0,0,0,0
"Ipomopsis polyantha","Colorado",0,0,1,0,0,0,0
"Iris missouriensis","Nebraska",0,0,0,0,0,1,0
"Ironoquia plattensis","Nebraska",0,0,0,0,0,1,0
"Ischnura barberi","Nebraska",0,0,0,0,0,1,0
"Isoetes melanopoda ssp. melanopoda","Nebraska",0,0,0,0,0,1,0
"Iva axillaris","Nebraska",0,0,0,0,0,1,0
"Ixobrychus exilis","Alabama,Arkansas,California,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",0,0,0,0,0,0,1
"Junco hyemalis","Maryland,Nebraska,South Carolina",0,0,0,0,0,1,0
"Junco hyemalis aikeni","South Dakota",0,0,0,0,1,0,0
"Juncus acuminatus","Nebraska,Vermont",0,0,0,0,0,1,0
"Juncus articulatus","Nebraska,West Virginia",0,0,0,0,0,1,0
"Juncus effusus ssp. solutus","Nebraska",0,0,0,0,0,1,0
"Juniperus horizontalis","Nebraska,Vermont",0,0,0,0,0,1,0
"Kinosternon flavescens","Arizona,Colorado,Illinois,Iowa,Missouri",0,0,1,0,0,0,0
"Krigia caespitosa","Nebraska",0,0,0,0,0,1,0
"Lachlania saskatchewanensis","Colorado",0,0,1,0,0,0,0
"Lagopus leucura altipetens","Colorado",0,0,1,0,0,0,0
"Lampropeltis calligaster","Florida,Iowa,Nebraska",0,0,0,0,0,1,0
"Lampropeltis triangulum","Arizona,Colorado,Delaware,South Carolina",0,0,1,0,0,0,0
"Lampropeltis triangulum multistriata","Wyoming",0,1,0,0,0,0,0
"Lampsilis cardium","Kansas,Louisiana,Mississippi,Nebraska,New York,Oklahoma,West Virginia,Wyoming",0,1,0,0,0,1,1
"Lampsilis higginsii","Illinois,Iowa,Minnesota,Missouri,Nebraska,South Dakota,Wisconsin",0,0,0,0,1,1,0
"Lampsilis rafinesqueana","Arkansas,Kansas,Missouri,Oklahoma",0,0,0,0,0,0,1
"Lampsilis siliquoidea","Iowa,Kansas,Louisiana,Mississippi,Nebraska,Tennessee,Wyoming",0,1,0,0,0,1,1
"Lampsilis teres","Iowa,Kansas,Minnesota,Nebraska,Ohio,South Dakota,West Virginia,Wisconsin",0,0,0,0,1,1,1
"Lanius ludovicianus","Alabama,Arkansas,California,Colorado,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,Washington,West Virginia,Wisconsin",0,0,1,1,0,1,1
"Lasionycteris noctivagans","Alaska,Connecticut,Delaware,District of Columbia,Idaho,Indiana,Iowa,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Missouri,Nevada,New Hampshire,New Jersey,New York,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Vermont,Virginia,Washington,West Virginia,Wisconsin",0,0,0,0,1,0,0
"Lasiurus borealis","Connecticut,Delaware,District of Columbia,Indiana,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,Ohio,Rhode Island,South Carolina,Vermont,Virginia,West Virginia,Wyoming",0,1,0,0,0,0,0
"Lasiurus cinereus","Colorado,Connecticut,Delaware,District of Columbia,Idaho,Indiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Nevada,New Hampshire,New Jersey,New York,Ohio,Oregon,Rhode Island,South Carolina,Vermont,Virginia,Washington,West Virginia",0,0,1,0,0,0,0
"Lasmigona complanata","Iowa,Louisiana,Mississippi,Pennsylvania,Tennessee,West Virginia,Wyoming",0,1,0,0,0,0,0
"Lasmigona compressa","Illinois,Iowa,Kentucky,Michigan,Minnesota,North Dakota,Ohio,Pennsylvania,South Dakota,Vermont,West Virginia",0,0,0,1,1,0,0
"Lasmigona costata","Illinois,Iowa,Kansas,Michigan,Minnesota,Vermont,West Virginia",0,0,0,0,0,0,1
"Laterallus jamaicensis","Alabama,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Louisiana,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Oklahoma,South Carolina,Texas,Virginia",0,0,0,0,0,0,1
"Lathyrus ochroleucus","Nebraska,Vermont",0,0,0,0,0,1,0
"Lathyrus palustris","Massachusetts,Nebraska,Tennessee,Vermont",0,0,0,0,0,1,0
"Lechea mucronata","Nebraska,Vermont",0,0,0,0,0,1,0
"Lechea stricta","Nebraska",0,0,0,0,0,1,0
"Lechea tenuifolia","Nebraska,West Virginia",0,0,0,0,0,1,0
"Leiothlypis virginiae","Arizona,Colorado,Nevada,New Mexico",0,0,1,0,0,0,0
"Lemmiscus curtatus","Colorado,Nevada,North Dakota",0,0,1,1,0,0,0
"Lemna gibba","Nebraska",0,0,0,0,0,1,0
"Lemna minuta","Nebraska",0,0,0,0,0,1,0
"Lepidium crenatum","Colorado",0,0,1,0,0,0,0
"Lepidium huberi","Colorado",0,0,1,0,0,0,0
"Lepidium oblongum","Nebraska",0,0,0,0,0,1,0
"Lepidomeda copei","Idaho,Utah,Wyoming",0,1,0,0,0,0,0
"Lepisosteus oculatus","Kansas,Ohio,Pennsylvania",0,0,0,0,0,0,1
"Lepisosteus platostomus","Alabama,Montana,Ohio",1,0,0,0,0,0,0
"Lepomis gulosus","Kansas,Minnesota,Pennsylvania,West Virginia",0,0,0,0,0,0,1
"Lepomis humilis","Colorado,West Virginia",0,0,1,0,0,0,0
"Leptodea fragilis","North Dakota,Pennsylvania,Vermont,Virginia,West Virginia",0,0,0,1,0,0,0
"Leptodea leptodon","Alabama,Arkansas,Illinois,Kentucky,Missouri,Nebraska,Ohio,Oklahoma,South Dakota,Tennessee",0,0,0,0,1,1,0
"Leptophlebia konza","Kansas",0,0,0,0,0,0,1
"Lepus americanus","Alaska,Colorado,Ohio,Vermont,West Virginia",0,0,1,0,0,0,0
"Lepus californicus","Arkansas,Missouri,Nebraska,Washington",0,0,0,0,0,1,0
"Lepus townsendii","Colorado,Iowa,Minnesota,Nebraska,Oregon,Washington",0,0,1,0,0,1,0
"Lespedeza violacea","Nebraska",0,0,0,0,0,1,0
"Lestes alacer","Colorado",0,0,1,0,0,0,0
"Lethe anthedon anthedon","Nebraska",0,0,0,0,0,1,0
"Leucophaeus pipixcan","Idaho,Iowa,Minnesota,North Dakota,Oregon,Texas,Wyoming",0,1,0,1,0,0,0
"Leucopoa kingii","Nebraska",0,0,0,0,0,1,0
"Leucorrhinia glacialis","Colorado,Connecticut,Maryland,Minnesota,New Jersey,Pennsylvania,Rhode Island,West Virginia",0,0,1,0,0,0,0
"Leucospora multifida","Nebraska",0,0,0,0,0,1,0
"Leucosticte atrata","Colorado,Idaho,Montana,Nevada,Utah",1,0,1,0,0,0,0
"Leucosticte australis","Colorado,New Mexico,Wyoming",0,1,1,0,0,0,0
"Leucosticte tephrocotis","California,Montana,Nevada",1,0,0,0,0,0,0
"Leymus cinereus","Nebraska",0,0,0,0,0,1,0
"Liatris hirsuta","Nebraska",0,0,0,0,0,1,0
"Liatris ligulistylis","Nebraska",0,0,0,0,0,1,0
"Liatris pycnostachya var. pycnostachya","Nebraska",0,0,0,0,0,1,0
"Libellula composita","Kansas,Oklahoma",0,0,0,0,0,0,1
"Libellula nodisticta","Colorado",0,0,1,0,0,0,0
"Ligumia recta","Alabama,Illinois,Iowa,Louisiana,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New York,Ohio,Oklahoma,Tennessee,Vermont,Virginia,West Virginia",0,0,0,0,0,1,0
"Ligumia subrostrata","Iowa,Minnesota,Nebraska",0,0,0,0,0,1,0
"Limenitis weidemeyerii","Nebraska",0,0,0,0,0,1,0
"Limnodromus scolopaceus","Alaska,Florida,Iowa,Kansas,Nevada,South Carolina",0,0,0,0,0,0,1
"Limosa fedoa","Delaware,Florida,Iowa,Kansas,Louisiana,Minnesota,Mississippi,New Jersey,North Carolina,North Dakota,South Carolina,South Dakota,Tennessee,Virginia,Washington",0,0,0,1,1,0,1
"Limosa haemastica","Alaska,Delaware,Iowa,Kansas,Louisiana,Minnesota,New Jersey,Oklahoma,Tennessee,Texas",0,0,0,0,0,0,1
"Linanthus caespitosus","Nebraska",0,0,0,0,0,1,0
"Lintneria eremitoides","Kansas,Texas",0,0,0,0,0,0,1
"Linum berlandieri var. berlandieri","Nebraska",0,0,0,0,0,1,0
"Linum lewisii var. lewisii","Nebraska,West Virginia",0,0,0,0,0,1,0
"Liparis loeselii","Georgia,Massachusetts,Missouri,Nebraska,Tennessee,West Virginia",0,0,0,0,0,1,0
"Lithobates areolatus","Alabama,Arkansas,Illinois,Indiana,Iowa,Kansas,Mississippi,Oklahoma,Tennessee,Texas",0,0,0,0,0,0,1
"Lithobates blairi","Arizona,Colorado,Indiana,Missouri,New Mexico",0,0,1,0,0,0,0
"Lithobates clamitans","District of Columbia,Kansas",0,0,0,0,0,0,1
"Lithobates pipiens","Arizona,California,Colorado,Connecticut,Idaho,Indiana,Iowa,Kentucky,Maine,Massachusetts,Montana,Nevada,New Hampshire,New Mexico,Pennsylvania,Rhode Island,Utah,Washington,West Virginia,Wyoming",1,1,1,0,0,0,0
"Lithobates sylvaticus","Alabama,Alaska,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Kentucky,Missouri,North Carolina,Ohio,Rhode Island,South Carolina,Wyoming",0,1,1,0,0,0,0
"Lithophragma parviflorum","Nebraska",0,0,0,0,0,1,0
"Lobelia cardinalis","Nebraska",0,0,0,0,0,1,0
"Lobelia inflata","Nebraska",0,0,0,0,0,1,0
"Loeflingia squarrosa","Louisiana,Nebraska",0,0,0,0,0,1,0
"Lomatium concinnum","Colorado",0,0,1,0,0,0,0
"Lomatium latilobum","Colorado",0,0,1,0,0,0,0
"Lomatium nuttallii","Nebraska",0,0,0,0,0,1,0
"Lontra canadensis","Colorado,District of Columbia,Nebraska,Nevada,New Mexico,North Dakota,South Dakota,Texas,Vermont,Wyoming",0,1,1,1,1,1,0
"Lota lota","Alaska,Connecticut,Idaho,Illinois,Iowa,Kentucky,Maine,Massachusetts,Nebraska,New Hampshire,North Dakota,Ohio,Pennsylvania,Washington,Wyoming",0,1,0,1,0,1,0
"Ludwigia alternifolia","Nebraska",0,0,0,0,0,1,0
"Ludwigia peploides ssp. glabrescens","Nebraska",0,0,0,0,0,1,0
"Lupinus crassus","Colorado",0,0,1,0,0,0,0
"Luxilus cardinalis","Kansas,Missouri,Oklahoma",0,0,0,0,0,0,1
"Luxilus chrysocephalus","Florida,Kansas,Maryland,Wisconsin",0,0,0,0,0,0,1
"Luxilus cornutus","Colorado,Connecticut,Kansas,Massachusetts,Missouri,Nebraska,Rhode Island,West Virginia,Wyoming",0,1,1,0,0,1,1
"Lycaena helloides","Iowa,Nebraska,Ohio",0,0,0,0,0,1,0
"Lycaena phlaeas","Nebraska",0,0,0,0,0,1,0
"Lycaena rubidus","Nebraska",0,0,0,0,0,1,0
"Lygodesmia grandiflora var. doloresensis","Colorado",0,0,1,0,0,0,0
"Lynx canadensis","Colorado,Maine,Minnesota,New Hampshire,Utah,Vermont,Washington,Wyoming",0,1,1,0,0,0,0
"Lysimachia maritima","Nebraska",0,0,0,0,0,1,0
"Lysimachia maxima","Hawaii,Nebraska",0,0,0,0,0,1,0
"Macdunnoa persimplex","Colorado,Wisconsin",0,0,1,0,0,0,0
"Macrhybopsis gelida","Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee,Wyoming",1,1,0,1,1,1,1
"Macrhybopsis hyostoma","Alabama,Arkansas,Illinois,Iowa,Kansas,Louisiana,Ohio,West Virginia,Wisconsin",0,0,0,0,0,0,1
"Macrhybopsis meeki","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee",1,0,0,1,1,1,1
"Macrhybopsis storeriana","Kansas,Michigan,Missouri,North Dakota,Ohio,Texas,West Virginia",0,0,0,1,0,0,1
"Macrhybopsis tetranema","Kansas,New Mexico,Texas",0,0,0,0,0,0,1
"Macrochelys temminckii","Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Oklahoma,Tennessee,Texas",0,0,0,0,0,0,1
"Maianthemum canadense","Nebraska",0,0,0,0,0,1,0
"Malus ioensis","Nebraska",0,0,0,0,0,1,0
"Margariscus margarita","District of Columbia,Iowa,Maine,Maryland,Montana,Nebraska,North Dakota,Pennsylvania,Virginia,West Virginia,Wyoming",1,1,0,1,0,1,0
"Margariscus nachtriebi","South Dakota,Vermont",0,0,0,0,1,0,0
"Margaritifera falcata","Alaska,California,Idaho,Montana,Utah,Washington,Wyoming",1,1,0,0,0,0,0
"Martes americana","Colorado,Nevada,New Hampshire,New Mexico,North Dakota,Oregon,Vermont,Wisconsin,Wyoming",0,1,1,1,0,0,0
"Martes pennanti","New Jersey,Tennessee,Wyoming",0,1,0,0,0,0,0
"Matteuccia struthiopteris var. pensylvanica","Nebraska",0,0,0,0,0,1,0
"Megalonaias nervosa","Florida,Iowa,Kansas,Minnesota,Ohio,Oklahoma,West Virginia,Wisconsin",0,0,0,0,0,0,1
"Megathymus streckeri","Louisiana,Nebraska",0,0,0,0,0,1,0
"Megathymus yuccae coloradensis","Nebraska",0,0,0,0,0,1,0
"Melanerpes erythrocephalus","Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Missouri,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,West Virginia,Wisconsin",0,0,0,1,0,0,1
"Melanerpes lewis","Arizona,Colorado,Idaho,Montana,Nebraska,Nevada,New Mexico,Oregon,South Dakota,Utah,Washington,Wyoming",1,1,1,0,1,1,0
"Melanoplus beameri","Kansas",0,0,0,0,0,0,1
"Melanoplus punctulatus","Nebraska,Wisconsin",0,0,0,0,0,1,0
"Melica nitens","Nebraska,West Virginia",0,0,0,0,0,1,0
"Melospiza georgiana","Nebraska",0,0,0,0,0,1,0
"Mentzelia albicaulis","Nebraska",0,0,0,0,0,1,0
"Mentzelia chrysantha","Colorado",0,0,1,0,0,0,0
"Mentzelia densa","Colorado",0,0,1,0,0,0,0
"Mentzelia oligosperma","Nebraska",0,0,0,0,0,1,0
"Mertensia humilis","Colorado",0,0,1,0,0,0,0
"Mertensia lanceolata var. lanceolata","Nebraska",0,0,0,0,0,1,0
"Mesocapnia frisoni","Colorado",0,0,1,0,0,0,0
"Microtus pinetorum","Connecticut,Florida,Iowa,Michigan,Minnesota,Nebraska,Ohio,Vermont,Wisconsin",0,0,0,0,0,1,0
"Microtus richardsoni","Wyoming",0,1,0,0,0,0,0
"Mimulus alatus","Massachusetts,Nebraska",0,0,0,0,0,1,0
"Mimulus gemmiparus","Colorado",0,0,1,0,0,0,0
"Mimulus guttatus","Nebraska",0,0,0,0,0,1,0
"Minuartia michauxii","Massachusetts,Missouri,Nebraska",0,0,0,0,0,1,0
"Minytrema melanops","Iowa,Kansas,Pennsylvania",0,0,0,0,0,0,1
"Mirabilis glabra","Nebraska",0,0,0,0,0,1,0
"Mirabilis rotundifolia","Colorado",0,0,1,0,0,0,0
"Mniotilta varia","Connecticut,Delaware,District of Columbia,Indiana,Maine,Maryland,Massachusetts,Nebraska,New Jersey,Ohio,Pennsylvania,Rhode Island,South Carolina,Virginia",0,0,0,0,0,1,0
"Monotropa uniflora","Nebraska",0,0,0,0,0,1,0
"Moxostoma carinatum","Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Michigan,Mississippi,Missouri,New York,North Carolina,Ohio,Virginia,West Virginia,Wisconsin",0,0,0,0,0,0,1
"Moxostoma duquesnii","Iowa,Kansas,Michigan,Minnesota,Mississippi,New York,Ohio,Wisconsin",0,0,0,0,0,0,1
"Moxostoma erythrurum","Kansas,Mississippi",0,0,0,0,0,0,1
"Moxostoma macrolepidotum","Delaware,Kansas,Mississippi,Oklahoma,Vermont,West Virginia",0,0,0,0,0,0,1
"Moxostoma pisolabrum","Arkansas,Kansas",0,0,0,0,0,0,1
"Muhlenbergia filiformis","Nebraska",0,0,0,0,0,1,0
"Muhlenbergia glomerata","Nebraska",0,0,0,0,0,1,0
"Muhlenbergia minutissima","Nebraska",0,0,0,0,0,1,0
"Muhlenbergia richardsonis","Nebraska",0,0,0,0,0,1,0
"Muhlenbergia sylvatica","Nebraska,Vermont",0,0,0,0,0,1,0
"Muhlenbergia tenuiflora","Nebraska",0,0,0,0,0,1,0
"Mustela frenata","Alabama,Arizona,Arkansas,Connecticut,Delaware,Iowa,Louisiana,Mississippi,Missouri,Nebraska,Oklahoma,Texas,Vermont",0,0,0,0,0,1,0
"Mustela nigripes","Arizona,Colorado,Kansas,Montana,New Mexico,North Dakota,South Dakota,Texas,Utah,Wyoming",1,1,1,1,1,0,1
"Mustela nivalis","Georgia,Indiana,Iowa,Maryland,Minnesota,Missouri,Tennessee,Wyoming",0,1,0,0,0,0,0
"Myadestes townsendi","Nebraska",0,0,0,0,0,1,0
"Myiarchus cinerascens","Wyoming",0,1,0,0,0,0,0
"Myodes gapperi","Arizona,Colorado,Connecticut,Kentucky,Ohio",0,0,1,0,0,0,0
"Myosotis laxa","Nebraska,Vermont",0,0,0,0,0,1,0
"Myosotis verna","Nebraska,Vermont",0,0,0,0,0,1,0
